"alg-geom/9611018","H. Esnault","H\'el\`ene Esnault","Algebraic Differential Characters","Latex 2e",,,,"alg-geom math.AG",,"  We give a construction of algebraic differential characters, receiving
classes of algebraic bundles with connection, lifitng the Chern-Simons
invariants defined with S. Bloch, the classes in the Chow group and the
analytic secondary invariants if the variety is defined over the field of
complex numbers.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 14:05:02 GMT""}]","2008-02-03"
"astro-ph/9611114","Richard Ogley","R.N. Ogley, S.J. Bell Burnell, R.P. Fender","Modelling of Infrared emission from Cyg X-3 and the UKIRT IRCAM3 point
  spread function","7 pages, 4 figures, to appear in Vistas in Astronomy as part of a
  conference at Jodrell Bank, Apr 96, Relative Jets in X-ray binaries. Style
  files included","Vistas Astron. 41 (1997) 65","10.1016/S0083-6656(96)00064-5",,"astro-ph",,"  Modelling of the point spread function of the UKIRT IRCAM3 array was
conducted in order to test any extended emission around the X-ray binary Cyg
X-3. We found that the point spread function cannot be represented by a simple
Gaussian, but modelling of the stars required additional functions namely
Lorrentzian and exponential components. After modelling for the PSF, we found
that Cyg X-3 could be represented by two stellar-type profiles, 0.56"" apart.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 17:46:31 GMT""}]","2009-10-28"
"astro-ph/9611115","Michael Pahre","M. A. Pahre and S. G. Djorgovski (Palomar Observatory, Caltech)","Observational Constraints on the Origins of the Fundamental Plane","Invited review, to appear in The Nature of Elliptical Galaxies,
  Proceedings of the Second Stromlo Symposium, eds. M. Arnaboldi, G. S. Da
  Costa, and P. Saha; 12 pages, including 6 embedded postscript figures; TeX
  file, requires input file stromlo.tex (included); also available at
  http://astro.caltech.edu/~map/map.bibliography.html",,,,"astro-ph",,"  We review the concept of the Fundamental Plane (FP), and present new results
on the near-infrared FP. We show that the K-band FP differs both from the
optical form and the virial expectation under the assumption of constant (M/L)
and homology. Systematic variations of only the stellar populations parameters
(age, metallicity, IMF) cannot reproduce the slopes of the FP simultaneously at
both the optical and near-infrared wavelengths. There appears to be an
additional effect which could be due to a systematic departure of the velocity
distributions of elliptical galaxies from a homologous family. In order to
distinguish between the different possible stellar populations parameters, the
FP and its projections can be observed at a range of redshifts. We describe
several such evolutionary tests: in the intercept of the color-magnitude
relation; in the intercept of the Kormendy surface brightness-radius
correlation; and in the intercept of the FP itself. All three tests are fully
consistent with the population of cluster elliptical galaxies having formed at
high redshift; this contradicts large, systematic age variations as a
significant contributor to the slope of the FP.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 20:29:14 GMT""}]","2007-05-23"
"astro-ph/9611116",,"Neta A. Bahcall (Princeton University Observatory)","Large scale structure of the universe","14 pages, 5 figures (included)",,,"Princeton Observatory Preprint 691","astro-ph",,"  How is the universe organized on large scales? How did this structure evolve
from the unknown initial conditions of a rather smooth early universe to the
present time? The answers to these questions will shed light on the cosmology
we live in, the amount, composition and distribution of matter in the universe,
the initial spectrum of density fluctuations that gave rise to this structure,
and the formation and evolution of galaxies, clusters of galaxies, and larger
scale structures. To address these fundamental questions, large and accurate
sky surveys are needed---in various wavelengths and to various depths. In this
presentation I review current observational studies of large scale structure,
present the constraints these observations place on cosmological models and on
the amount of dark matter in the universe, and highlight some of the main
unsolved problems in the field of large-scale structure that could be solved
over the next decade with the aid of current and future surveys. I briefly
discuss some of
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 21:21:57 GMT""}]","2007-05-23"
"astro-ph/9611117","Rene Ong","CASA-MIA Collaboration","A High Statistics Search for Ultra-High Energy Gamma-Ray Emission from
  Cygnus X-3 and Hercules X-1","26 LaTeX pages, 16 PostScript figures, uses psfig.sty to be published
  in Physical Review D","Phys.Rev.D55:1714-1731,1997","10.1103/PhysRevD.55.1714","EFI 96-25","astro-ph",,"  We have carried out a high statistics (2 Billion events) search for
ultra-high energy gamma-ray emission from the X-ray binary sources Cygnus X-3
and Hercules X-1. Using data taken with the CASA-MIA detector over a five year
period (1990-1995), we find no evidence for steady emission from either source
at energies above 115 TeV. The derived upper limits on such emission are more
than two orders of magnitude lower than earlier claimed detections. We also
find no evidence for neutral particle or gamma-ray emission from either source
on time scales of one day and 0.5 hr. For Cygnus X-3, there is no evidence for
emission correlated with the 4.8 hr X-ray periodicity or with the occurrence of
large radio flares. Unless one postulates that these sources were very active
earlier and are now dormant, the limits presented here put into question the
earlier results, and highlight the difficulties that possible future
experiments will have in detecting gamma-ray signals at ultra-high energies.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 21:23:47 GMT""}]","2009-12-30"
"astro-ph/9611118","Bo Qin","Bo Qin, Xiang-Ping Wu and Zhenlong Zou","Self-Microlensing in Compact Binary Systems","5 pages Latex file, Chin. Phys. Lett., in press",,"10.1088/0256-307X/14/2/022",,"astro-ph",,"  The signature of the self-microlensing in compact binaries (white dwarfs,
neutron stars and black holes) is a flare with the characteristic time of
typically a few minutes. The probability of detecting these microlensing events
can be as high as $1/50$ for a flux sensitivity of $\Delta m=0.01$ in
magnitude. The discovery of the self-microlensing by binaries would furnish an
additional way to find the masses of the lens and the companion and will be
promising for the searches of black holes.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 07:14:46 GMT""}]","2015-06-24"
"astro-ph/9611119","Martin Federspiel","G.A. Tammann, M. Federspiel (Astronomical Institute of the University
  of Basel, Switzerland)","Focussing in on H_0","22 pages, 4 EPS figures, LaTeX with cupconf.sty. To appear in: The
  Extragalactic Distance Scale, eds. M. Livio, M. Donahue, N. Panagia,
  Cambridge University Press",,,,"astro-ph",,"  Six independent methods yield a Virgo cluster modulus of (m-M)=31.66+/- 0.08.
This inserted into the Hubble diagram of clusters, whose relative distances to
the Virgo cluster are known, gives H_0=54+/-4. The result is independent of any
observed or inferred velocity of the Virgo cluster and holds out 10 000 km/s.
An analogous use of the Fornax cluster is not yet possible because of its
unknown structure in space and its poorly understood distance relative to other
clusters. Field galaxies, corrected for Malmquist bias, give H_0=53+/-3. The
results of purely physical distance determinations cluster around H_0=55+/-10.
These results may be compared with the high-weight determination of
H_0=58.5+/-3 from Cepheid-calibrated SNe Ia and their Hubble diagram out to 30
000 km/s (Saha 1996). The agreement of the independent methods suggests that
the external error of an adopted value of H_0=58 is equal or less than 13%.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 10:32:12 GMT""}]","2007-05-23"
"astro-ph/9611120","Tina Christensen","Tina Christensen (1 and 2), Lars Petersen (1) and Peter Gammelgaard
  (1) ((1) University of Aarhus, Denmark, (2) Nordic Optical Telescope)","A sulphur abundance study of NGC 300 by an empirical calibration method","9 pages including 6 eps figures, Latex (l-aa.sty), accepted for
  publication in A&A",,,,"astro-ph",,"  We propose an empirical sulphur abundance determination method based on the
strong sulphur emission lines, [S II] 6716, 6731 and [S III] 9069, 9531 in H II
regions. From a compilation of literature data we have made a calibration of
sulphur abundance versus ([S II] + [S III])/Hbeta, similar to what has been
widely used for the more easily observable iso-electronic element oxygen. This
enables abundance determinations in extragalactic H II regions without
measurements of weak temperature sensitive lines for use in model calculations.
  As a first application of the empirical calibration 15 spectra covering the
wavelength range 3650-10000 AA have been obtained of H II regions at various
galactocentric distances in the spiral galaxy NGC 300, by employing specially
designed multiaperture slitmasks which allow simultaneous observations of
several H II regions. Sulphur and oxygen abundances are determined and an
oxygen gradient in agreement with previously published work is found as well as
a somewhat steeper sulphur abundance gradient. This results in a slight
decrease of log S/O with increasing radius.
  The quite low values of S/O seem to confirm the trend demonstrated by Diaz et
al. (1991) of a decrease in log S/O at high metallicities, but still more data
are needed before any definite conclusions can be drawn. We find as expected
that the radiation softness parameter eta decreases with increasing radius and
the slope is comparable to what is found for spiral galaxies of similar
metallicity.
","[{""version"":""v1"",""created"":""Fri, 15 Nov 1996 11:44:19 GMT""}]","2007-05-23"
"chao-dyn/9611006","Martin Sieber","Martin Sieber","Semiclassical Transition from an Elliptical to an Oval Billiard","LaTeX, 33 pages including 10 PostScript figures, submitted to J.
  Phys. A",,"10.1088/0305-4470/30/13/011","ULM-TP/96-4","chao-dyn nlin.CD",,"  Semiclassical approximations often involve the use of stationary phase
approximations. This method can be applied when $\hbar$ is small in comparison
to relevant actions or action differences in the corresponding classical
system. In many situations, however, action differences can be arbitrarily
small and then uniform approximations are more appropriate. In the present
paper we examine different uniform approximations for describing the spectra of
integrable systems and systems with mixed phase space. This is done on the
example of two billiard systems, an elliptical billiard and a deformation of
it, an oval billiard. We derive a trace formula for the ellipse which involves
a uniform approximation for the Maslov phases near the separatrix, and a
uniform approximation for tori of periodic orbits close to a bifurcation. We
then examine how the trace formula is modified when the ellipse is deformed
into an oval. This involves uniform approximations for the break-up of tori and
uniform approximations for bifurcations of periodic orbits. Relations between
different uniform approximations are discussed.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 18:15:00 GMT""}]","2009-10-28"
"cond-mat/9611114","Chithra","R. Chitra and T. Giamarchi","Critical Properties of gapped spin-1/2 chains and ladders in a magnetic
  field","20 pages, 3 figures, Revtex","Phys. Rev. B 55 5816 (1997)","10.1103/PhysRevB.55.5816",,"cond-mat.stat-mech",,"  An interesting feature of spin-1/2 chains with a gap is that they undergo a
commensurate-incommensurate transition in the presence of an external magnetic
field $H$. The system is in a gapless incommensurate regime for all values of
the magnetic field between the lower critical field $H_{c1}$ and an upper
critical field $H_{c2}$, where it is gapless and has power law correlations. We
calculate the critical exponents for such a generic gapped system in the
incommensurate regime at the critical field $H_{c1}$ and in its vicinity. Our
analysis also applies to the spin-1/2 ladder. We compute the full dynamical
susceptibilities at finite temperature. We use the same to discuss the thermal
broadening of various modes and obtain the low temperature behaviour of the
nuclear spin relaxation rate $T_1^{-1}$. We discuss the results obtained here
for the special cases of the dimerised chain, frustrated chain and the spin-1/2
ladder.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 16:58:12 GMT""}]","2016-08-31"
"cond-mat/9611115","Oded Agam","Oded Agam, Ned S. Wingreen, Boris L. Altshuler, D. C. Ralph, and M.
  Tinkham","Chaos, interactions, and nonequilibrium effects in the tunneling
  resonance spectra of small metallic particles","4 pages, 2 .eps figures enclosed",,"10.1103/PhysRevLett.78.1956",,"cond-mat",,"  We explain the observation of clusters in the tunneling resonance spectra of
small metallic particles of few nanometer size. Each cluster of resonances is
identified with one excited single--electron state of the metal particle,
shifted as a result of the different nonequilibrium occupancy configurations of
the other single--electron states. Assuming the underlying classical dynamics
of the electrons to be chaotic, we determine the typical shift to be $\Delta/g$
where $g$ is the dimensionless conductance of the grain.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 19:29:35 GMT""}]","2009-10-28"
