"alg-geom/9611035","Geng Xu","Gang Tian and Geng Xu","On the semi-simplicity of the quantum cohomology algebras of complete
  intersections","9 pages plain TeX",,,,"alg-geom math.AG",,"  In this short note, we study the semi-simplicity of the quantum cohomology
algebra H(V, C) of a Fano complete intersection V, and show that the subspace
of H(V, C) generated by the hyperplane sections is semi-simple in the sense of
Dubrovin when the degree of V satisfies certain conditions.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:47:05 GMT""}]","2008-02-03"
"astro-ph/9611214","Michael E. Jones","A. N. Lasenby (MRAO, Cambridge, UK)","Radio frequency foreground emission and the separation of microwave
  anisotropies from foreground contamination","8 pages, LaTex, uses 'cmb.sty' (included), 7 PostScript figures. To
  appeart in proceedings of the XXXIst Rencontre de Moriond, `Microwave
  Background Anisotropies'",,,,"astro-ph",,"  The effects on CMB measurements of foreground contamination due to
synchrotron radiation, free-free emission and discrete sources are considered.
Estimates of the level and power spectrum of the Galactic fluctuations are made
using low frequency maps and recent Tenerife data. New methods for achieving a
frequency-based separation of Galactic and CMB components are discussed, and a
positive/negative maximum entropy algorithm shown to be particularly powerful
in this respect.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:09:00 GMT""}]","2007-05-23"
"astro-ph/9611215","Michael E. Jones","Michael P. Hobson (MRAO, Cambridge, UK)","The observability of secondary doppler peaks","6 pages, LaTeX, uses 'cmb.sty' (included), 6 PostScript figures. To
  appeart in proceedings of the XXXIst Rencontre de Moriond, `Microwave
  Background Anisotropies'",,,,"astro-ph",,"  By proposing a statistic for the detection of secondary (Doppler) peaks in
the CMBR power spectrum, the significance level at which such peaks may be
detected are computed for a large range of model CMBR experiments. In
particular, we investigate experimental design features required to distinguish
between competing cosmological theories, such as cosmic strings and inflation,
by establishing whether or not secondary peaks are present in the CMBR power
spectrum.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 16:21:00 GMT""}]","2007-05-23"
"astro-ph/9611216","C. R. Keeton","C. R. Keeton, C. S. Kochanek (Harvard-Smithsonian Center for
  Astrophysics)","Determining the Hubble Constant from the Gravitational Lens PG 1115+080","revised to use the updated time delays of Bar-Kana astro-ph/9701068;
  30 pages, 7 Postscript figures, to appear in ApJ",,"10.1086/304583",,"astro-ph",,"  For the quadruple gravitational lens PG 1115+080, we combine recent
measurements of the time delays with new lens models to determine the Hubble
constant H_0. We explore the effects of systematic uncertainties in the lens
models on the estimates of H_0, and we discuss how the uncertainties can be
reduced by future observations. We find that the lens cannot be fit by an
isolated lens galaxy, but that it can be well fit by including a perturbation
from the nearby group of galaxies. To understand the full range of systematic
uncertainties it is crucial to use an ellipsoidal galaxy and to let the group
position vary. In this case, the existing constraints cannot break degeneracies
in the models with respect to the profiles of the galaxy and group and to the
position of the group. Combining the known time delays with a range of lens
models incorporating most of the plausible systematic effects yields H_0 =
51_{-13}^{+14} km s^{-1} Mpc^{-1}. The constraints on the lens models, and
hence on H_0, can be improved by reducing the standard errors in the lens
galaxy position from 50 mas to \sim10 mas, reducing the uncertainties in the
time delays to \sim0.5 days, and constraining the lens mass distribution using
HST photometry and the fundamental plane. In particular, the time delay ratio
r_{ABC} = \Delta\tau_{AC} / \Delta\tau_{BA} may provide the best constraint on
the mass profile of the galaxy.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:34:30 GMT""},{""version"":""v2"",""created"":""Mon, 12 May 1997 21:58:26 GMT""}]","2009-10-28"
"astro-ph/9611217","C. R. Keeton","C.S. Kochanek and C.R. Keeton (Harvard-Smithsonian Center for
  Astrophysics)","Gravitational Lensing Limits on Early-Type Galaxies","10 pages, 6 figures Proc. of the Second Stromlo Symposium, The Nature
  of Elliptical Galaxies",,,,"astro-ph",,"  Gravitational lenses are a unique new constraint on the structure of
galaxies. We review the evidence that most lenses are early-type galaxies, the
optical properties of the lens galaxies, the evidence against constant M/L
models, recent work on the axis ratios of the mass distribution, and the role
stellar dynamics plays in gravitational lensing.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:47:59 GMT""}]","2007-05-23"
"astro-ph/9611218","Michael E. Jones","Michael E. Jones(1), Richard Saunders(1), Joanne C. Baker(1), Garret
  Cotter(1), Alastair Edge(2), Keith Grainge(1), Toby Haynes(1), Anthony
  Lasenby(1), Guy Pooley(1), Huub Rottgering(3)((1)MRAO Cambridge UK, (2)IoA
  Cambridge UK (3)Leiden Observatory)","Detection of a CMB decrement towards the z = 3.8 quasar pair
  PC1643+4631A&B","8 pages, LaTeX, 2 PostScript figures. To appear in Astrophysical
  Journal Letters",,"10.1086/310564",,"astro-ph",,"  In a 15-GHz Ryle-Telescope observation of PC1643+4631 A & B, a pair of
quasars at redshifts z = 3.79 and 3.83 separated by 198 arcsec on the sky, we
find a decrement in the cosmic microwave background (CMB) of -380 +/- 64 uJy in
a 110 arcsec x 175 arcsec beam. Assuming this to be a Sunyaev-Zel'dovich effect
due to an intervening cluster, the minimum magnitude of the central temperature
decrement is 560 uK. A serendipitous ROSAT observation shows that there is no
X-ray-luminous cluster in the direction of the decrement at z < 1. The implied
gas mass is >~ 2 x 10^{14} solar masses (assuming a temperature of ~ 5 keV),
indicating a total mass of > 10^{15} solar masses. This result demonstrates the
existence of a massive system too distant to be detected by its emission, but
which can be found via its imprint on the CMB.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 17:50:00 GMT""}]","2015-06-24"
"astro-ph/9611219","Michael E. Jones","Richard Saunders (1), Joanne C. Baker (1), Malcolm N. Bremer (2),
  Andrew J. Bunker (3), Garret Cotter (1), Steve Eales (4), Keith Grainge (1),
  Toby Haynes (1), Michael E. Jones (1), Mark Lacy (3), Guy Pooley (1), Steve
  Rawlings (3) ((1) MRAO Cambridge UK, (2) Leiden Observatory, (3) Oxford, (4)
  Cardiff)","Optical and infrared investigation towards the z=3.8 quasar pair
  PC1643+4631A&B","9 pages, LaTeX, 2 PostScript figures. To appear in Astrophysical
  Journal Letters",,"10.1086/310565",,"astro-ph",,"  In a companion paper (Paper I: Jones et al. 1996) we report the discovery of
a cosmic microwave background decrement, indicative of a distant cluster with
mass ~10^{15} solar masses, towards the quasar pair PC1643+4631A&B
(z=3.79,3.83, separation 198''). To search for the cluster responsible, we have
obtained R-, J- and K-band images of the field and have also carried out
optical spectroscopy of selected objects in it. No such cluster is evident in
these images. Assuming the cluster causing the decrement is similar to massive
clusters already known, our magnitude limits imply that it must lie about or
beyond z=1. This provides independent support for the X-ray-based distance
argument of Paper I. The cluster must gravitationally lens objects behind it;
for a cluster z around 1-2, the Einstein-ring radius for sources at z ~= 3.8 is
~ 100''. Simple modelling, producing simultaneously the S-Z effect and the
lensing, shows that the source positions of quasars A and B lie within ~10'' of
each other and may indeed be coincident. The two quasar spectra are found to be
remarkably similar apart from their one-percent redshift difference. Assuming A
and B are images of a single quasar, we present a possible explanation of this
difference.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 18:55:00 GMT""}]","2009-10-28"
"astro-ph/9611220","Kirk T. Korista","Kirk Korista(U of KY), Jack Baldwin(CTIO), Gary Ferland(U of KY), Dima
  Verner(U of KY)","An Atlas of Computed Equivalent Widths of Quasar Broad Emission Lines","16 pages, LaTeX (AASTeX aaspp4.sty); to appear in the 1997 ApJS: full
  contents of the 9 photoionization grids presented in this paper may be found
  at http://www.pa.uky.edu/~korista/grids/grids.html",,"10.1086/312966",,"astro-ph",,"  We present graphically the results of several thousand photoionization
calculations of broad emission line clouds in quasars, spanning seven orders of
magnitude in hydrogen ionizing flux and particle density. The equivalent widths
of 42 quasar emission lines are presented as contours in the particle density -
ionizing flux plane for a typical incident continuum shape, solar chemical
abundances, and cloud column density of $N(H) = 10^{23} cm^{-2}$. Results are
similarly given for a small subset of emission lines for two other column
densities ($10^{22} cm^{-2}$ and $10^{24} cm^{-2}$), five other incident
continuum shapes, and a gas metallicity of 5 \Zsun. These graphs should prove
useful in the analysis of quasar emission line data and in the detailed
modeling of quasar broad emission line regions. The digital results of these
emission line grids and many more are available over the Internet.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:56:01 GMT""}]","2009-10-28"
"astro-ph/9611221","C. S. Kochanek","C. S. Kochanek, E. E. Falco, R. Schild, A. Dobrzycki
  (Harvard-Smithsonian Center for Astrophysics) D. Engels, H.-J. Hagen
  (Hamburger Sternwarte)","SBS 0909+532: A New Double Gravitational Lens or Binary Quasar?","19 pages, 6 figures, ApJ in press",,"10.1086/303922",,"astro-ph",,"  The z=1.377, B=17.0 mag quasar SBS 0909+532 A, B is a double with two images
separated by 1.107 +/- 0.006 arcsec. Because the faint image has an emission
line at the same wavelength as the MgII 2798 A emission line of the quasar, and
lacks the broad MgIb absoption feature expected for a star with the same colors
(a K star), we conclude that image B is a quasar with similar redshift to image
A. The relative probabilities that the double is the smallest separation (4.8/h
kpc for \Omega_0=1) correlated quasar pair or a gravitational lens are \sim
1:10^6. If the object is a lens, the mean lens redshift is $<z_l>=0.5$ with 90%
confidence bounds of 0.18 < z_l < 0.83 for \Omega_0=1. If the lens is an
elliptical galaxy, we expect it to be brighter than I < 19.5 mag. The broad
band flux ratio varies with wavelength, with \Delta I=0.31, \Delta R=0.58, and
\Delta B=1.29 magnitudes, which is difficult to reconcile with the lensing
hypothesis.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 19:16:03 GMT""}]","2009-10-28"
"astro-ph/9611222","John E. Gizis","John E. Gizis","M-Subdwarfs: Spectroscopic Classification and the Metallicity Scale","AASTeX, 43 pages, 11 figures, A.J. accepted","Astron.J.113:806-822,1997","10.1086/118302",,"astro-ph",,"  We present a spectroscopic classification system for M-dwarfs and M-subdwarfs
based on quantitative measures of TiO and CaH features in the region 6200 -
7400 Angstroms. Our sample of cool stars covers the range from solar
metallicity stars to the most extreme subdwarfs known. Using synthetic spectra
computed by Allard and Hauschildt (1995), we derive metallicities for the
stars. Stars are classified as dwarfs (M V), subdwarfs (sdM), or extreme
subdwarfs (esdM). These classifications correspond to [m/H] ~ 0.0, -1.2, and
-2.0 respectively. Our metallicity scale agrees with theoretical HR diagrams
and HST globular cluster measurements. We discuss some nearby subdwarfs of
particular interest in light of our metallicity scale.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:09:12 GMT""}]","2009-06-16"
"astro-ph/9611223","Ed Moran","Edward C. Moran and Matthew D. Lehnert (Lawrence Livermore National
  Lab)","The Complex Broadband X-ray Spectrum of the Starburst Galaxy M82","23 pages, TeX, seven postscript figures, three tables Accepted for
  the March 20, 1997 issue of ApJ",,"10.1086/303795",,"astro-ph",,"  The broadband X-ray spectrum of the prototypical starburst galaxy M82 is very
complex. At least three spectral components are required to fit the combined
ROSAT and ASCA spectrum in the 0.1--10 keV range. The observed X-ray flux in
this band is dominated by a hard Gamma = 1.7, heavily absorbed power law
component which originates in the nucleus and near-nuclear disk of the galaxy.
Among the candidates for the origin of this hard X-ray emission, the most
plausible appears to be inverse-Compton scattered emission from the interaction
of M82's copious infrared photon flux with supernova-generated relativistic
electrons. The measured intrinsic luminosity of the power law component agrees
closely with calculations of the expected inverse-Compton luminosity. Moreover,
the radio and X-ray emission in the nucleus of M82 have the same spectral
slope, which should be the case if both types of emission are non- thermal and
are associated with a common population of electrons. The other two spectral
components, thermal plasmas with characteristic temperatures kT = 0.6 and 0.3
keV, are associated with the star formation and starburst-driven wind in M82.
The warmer thermal component is heavily absorbed as well and must also
originate in the central region of the galaxy. The softer thermal component,
however, is not absorbed, and is likely to represent the X-ray emission which
extends along M82's minor axis. The amount of absorption required in the
three-component model suggests that the intrinsic luminosity of M82 in the
0.1--10 keV band is about four times greater than its observed luminosity of 4
x 10(40) ergs/s.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 23:10:31 GMT""}]","2009-10-28"
