"alg-geom/9612008","Jim Bryan","Jim Bryan and Marc Sanders","Instantons on $S^{4}$ and $\cpbar $, rank stabilization, and Bott
  periodicity","20 pages, keywords: instantons, holomorphic bundles, Bott periodicity
  LaTeX2e",,,,"alg-geom math.AG",,"  We study the large rank limit of the moduli spaces of framed bundles on the
projective plane and the blown-up projective plane. These moduli spaces are
identified with various instanton moduli spaces on the 4-sphere and $\cpbar $,
the projective plane with the reverse orientation. We show that in the direct
limit topology, these moduli spaces are homotopic to classifying spaces. For
example, the moduli space of $Sp(\infty)$ or $SO(\infty)$ instantons on $\cpbar
$ has the homotopy type of $BU(k)$ where $k$ is the charge of the instantons.
We use our results along with Taubes' result concerning the $k\to \infty $
limit to obtain a novel proof of the homotopy equivalences in the eight-fold
Bott periodicity spectrum. We give explicit constructions for these moduli
spaces.
","[{""version"":""v1"",""created"":""Wed, 11 Dec 1996 07:35:54 GMT""}]","2008-02-03"
"astro-ph/9612099","R. H. Sanders","R.H. Sanders","A stratified framework for scalar-tensor theories of Modified Dynamics","26 pages, 2 figures, aas style, ApJ (accepted)","Astrophys.J. 480 (1997) 492-502","10.1086/303980",,"astro-ph",,"  Although the modified dynamics (MOND) proposed by Milgrom successfully
accounts for the systematics of galaxy rotation curves and cluster dynamics
without invoking dark matter, the idea remains a largely ad hoc modification of
Newtonian dynamics with no basis in deeper theory. Non-standard scalar-tensor
theories have been suggested as a theoretical basis for MOND; however, any such
theory with the usual conformal relation between the Einstein and physical
metrics fails to predict the degree of light deflection observed in distant
clusters of galaxies. In the present paper, I demonstrate that one can write
down a framework for scalar-tensor theories which predict the MOND
phenomenology for the low velocity (v<<c) dynamics of galaxies and clusters of
galaxies and which are consistent with observations of extragalactic
gravitational lenses provided that one drops the requirement of the Lorentz
Invariance of gravitational dynamics. This leads to ``preferred frame''
theories characterized by a non-conformal relation between the two metrics. I
describe a toy theory in which the local environment (the solar system, binary
pulsars) is protected from detectable preferred frame effects by the very same
non-standard (aquadratic) scalar Lagrangian which gives rise to the MOND
phenomenology. Although this particular theory is also contrived, it represents
a limiting case for two-field theories of MOND, and is consistent with a wide
range of gravitational phenomena.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:11:12 GMT""}]","2009-10-28"
"astro-ph/9612101","Glenn D. Starkman","Peter J. Kernan, Glenn D. Starkman and Tanmay Vachaspati (Case Western
  Reserve University, Dept of Physics)","Comment on ``Constraints on the strength of primordial B-fields from big
  bang nucleosynthesis reexamined''","4 pages, Latex, submitted to Phys. Rev. D","Phys.Rev. D56 (1997) 3766-3767","10.1103/PhysRevD.56.3766","CWRU-P22-96","astro-ph",,"  Recently Cheng, Olinto, Schramm and Truran (COST) reexamined the constraints
from big bang nucleosynthesis (BBN) on the strength of primordial magnetic
fields. Their bottom line agreed with that of an earlier recent paper on the
subject (Kernan, Starkman and Vachaspati (KSV)), both in its final limit on the
magnetic field during BBN, and in its conclusion that for allowed values of the
magnetic field the dominant factor for BBN is the increased expansion rate at a
given temperature caused by the energy density of the magnetic field,
$B^2/8\pi$. However, their conclusion that weak interaction rates increased
with increasing B-field at these low field values contradicted the earlier
results of KSV. In this comment we point out that the Taylor series expansion
of the weak interaction rate about B=0 used in COST is not well-defined, while
the Euler-McLaurin expansion of KSV is well-behaved and reliable. Using the
Euler-McLaurin expansion we find that the weak interaction rates decrease
rather than increase with increasing B-field at small values of the B-field.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 16:33:16 GMT""}]","2016-08-30"
"astro-ph/9612102","C. Renault","EROS collaboration: C. Renault, C. Afonso, E. Aubourg, P. Bareyre, F.
  Bauer, S. Brehin, C. Coutures, C. Gaucherel, J.F. Glicenstein, B. Goldman, M.
  Gros, D. Hardin, J. de Kat, M. Lachieze-Rey, B. Laurent, E. Lesquoy, C.
  Magneville, A. Milsztajn, L. Moscoso, N. Palanque-Delabrouille, F. Queinnec,
  J. Rich, M. Spiro, L. Vigroux, S. Zylberajch, R. Ansari, F. Cavalier, F.
  Couchot, B. Mansoux, M. Moniez, O. Perdereau, J.-Ph. Beaulieu, R. Ferlet, Ph.
  Grison, A. Vidal-Madjar, J. Guibert, O. Moreau, E. Maurice, L. Prevot, C.
  Gry, S. Char, J. Fernandez","Observational Limits on Machos in the Galactic Halo","4 pages, 3 Postscript figures, to be published in Astronomy &
  Astrophysics",,,,"astro-ph",,"  We present final results from the first phase of the EROS search for
gravitational microlensing of stars in the Magellanic Clouds by unseen
deflectors (machos: MAssive Compact Halo Objects). The search is sensitive to
events with time scales between 15 minutes and 200 days corresponding to
deflector masses in the range 1.e-7 to a few solar masses. Two events were
observed that are compatible with microlensing by objects of mass of about 0.1
Mo. By comparing the results with the expected number of events for various
models of the Galaxy, we conclude that machos in the mass range [1.e-7, 0.02]
Mo make up less than 20% (95% C.L.) of the Halo dark matter.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 17:37:28 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 1997 11:53:13 GMT""}]","2008-02-03"
"astro-ph/9612103",,"Luca Zampieri (University of Illinois at Urbana-Champaign)","Time-dependent Hypercritical Accretion onto Black Holes","5 pages, LaTeX, World Scientific Press style file (sprocl.sty). Talk
  presented at the Second International Sakharov Conference on Physics (Moscow,
  May 20-25, 1996). To appear in the Proceedings",,,,"astro-ph",,"  Results are presented from a time-dependent, numerical investigation of
super-Eddington spherical accretion onto black holes with different initial
conditions. We have studied the stability of stationary solutions, the
non-linear evolution of shocked models and the time-dependent accretion from an
expanding medium.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 17:07:05 GMT""}]","2016-08-30"
"astro-ph/9612104","Marek Gierlinski","Andrzej A. Zdziarski, W. Neil Johnson, Juri Poutanen, Pawel Magdziarz,
  Marek Gierlinski","X-rays and gamma-rays from accretion flows onto black holes in Seyferts
  and X-ray binaries","8 pages, 6 figures, to appear in proceedings of the 2nd INTEGRAL
  workshop ""Transparent Universe"", September 16-20, 1996, St. Malo, France",,,"CAMK 316","astro-ph",,"  We review observations and theoretical models of X-ray/gamma-ray spectra of
radio-quiet Seyfert galaxies and of Galactic black-hole candidates (in the hard
spectral state). The observed spectra share all their basic components: an
underlying power law, a Compton-reflection component with an Fe K-alpha line,
low-energy absorption by intervening cold matter, and a high-energy cutoff
above ~ 200 keV. The X-ray energy spectral index, alpha, is typically in the
range ~ 0.8-1 in Seyfert spectra from Ginga, EXOSAT and OSSE. The hard-state
spectra of black-hole candidates Cyg X-1 and GX 339-4 from simultaneous
Ginga/OSSE observations have alpha ~ 0.6-0.8. The Compton-reflection component
corresponds to cold matter (e.g., inner or outer parts of an accretion disk)
covering a solid angle of ~ (0.4-1) times 2 pi as seen from the X-ray source.
The spectra are cut off in soft gamma-rays above ~ 200 keV. The broad-band
spectra of both Seyferts and black-hole sources are well fitted by Compton
upscattering of soft photons in thermal plasmas. Our fits yield the thermal
plasma temperature of ~ 100 keV and the Thomson optical depth of tau 1. A
fraction of the luminosity emitted nonthermally appears to be small and it can
be constrained to < 15% in the Seyfert galaxy NGC 4151. The spectra are cut off
before 511 keV, which is strongly suggestive of a thermostatic role of e+e-
pair production in constraining the temperature and optical depth of the
sources. The source geometry is compatible with a patchy corona above a cold
disk in Seyferts, but not in Cyg X-1. In the latter, the relative weakness of
reflection is compatible with reflection of emission of a hot inner disk from
outer disk regions.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 18:45:28 GMT""}]","2007-05-23"
"astro-ph/9612105","Edward L. Wright","Edward L. Wright (UCLA Astronomy)","COBE Observations of Interstellar Line Emission","7 pages of LaTeX with 5 included figures. Presented at the IRTS
  symposium at ISAS in Japan on 12 Nov 96",,,"UCLA-ASTRO-ELW-96-04","astro-ph",,"  The FIRAS instrument on the COBE satellite has conducted an unbiased survey
of the far-infrared emission from our Galaxy. The first results of this survey
were reported by Wright et al. (1991), and later conclusions were reported in
Bennett et al. (1994). I report the results of analyses of this spectral
survey, which includes emission lines from 158 micron C+, 122 micron and 205
micron N+, 370 micron and 609 micron neutral C, and CO J=2-1 through 5-4. The
morphological distribution along the galactic plane (b=0 deg) for all the
spectral line emission, and the high galactic latitude intensities of the
strong C+ and 205 micron N+ emission are discussed. The high galactic latitude
intensity of the 158 micron fine structure transition from C+ is I = (1.43 +/-
0.12)*1E-6 csc|b| erg/cm^2/s/sr for |b| > 15 deg and it decreases more rapidly
than the far infrared intensity with increasing galactic latitude.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 18:13:43 GMT""}]","2007-05-23"
"astro-ph/9612106","Wesley Colley","Wesley N. Colley (Princeton University Observatory, Princeton, NJ)","Two Dimensional Topology of Large Scale Structure in the Las Campanas
  Redshift Survey","AASTeX, v4, preprint, 11 pages including 2 PS figures",,"10.1086/304799","Princeton Observatory Preprint 696","astro-ph",,"  We have measured the topology (genus) of the density distribution of
large-scale structure observed in the Las Campanas Redshift Survey (LCRS). The
LCRS is complete to magnitude 17.5, and contains nearly 24000 galaxies with
median redshift of 30000 km/s. The large volume and large number of galaxies
allows sampling of nearly 100 independent structures with which to compute the
genus topology, a vast improvement over previous studies. We find that the
genus is consistent with a random-phase Gaussian distribution of initial
density fluctuations, as would be produced naturally in inflationary models.
When we combine these results with the genus measurements of the COBE microwave
background fluctuations, we find that two orthogonal projections of the
three-dimensional distribution of initial density fluctuations are consistent
with Gaussian random-phase behavior, in agreement with standard inflationary
models. Particular attention is given to statistical significance of the genus
test.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 19:34:42 GMT""}]","2009-10-28"
"astro-ph/9612107","Mike Guidry","A. Mezzacappa, A. C. Calder, S. W. Bruenn, J. M. Blondin, M. W.
  Guidry, M. R. Strayer, and A. S. Umar","An Investigation of Neutrino-Driven Convection and the Core Collapse
  Supernova Mechanism Using Multigroup Neutrino Transport","Postscript figures at http://csep10.phys.utk.edu/papers/ To appear in
  Ap J Letters",,,,"astro-ph",,"  We investigate neutrino-driven convection in core collapse supernovae and its
ramifications for the explosion mechanism. We begin with an ``optimistic'' 15
solar mass precollapse model, which is representative of the class of stars
with compact iron cores. This model is evolved through core collapse and bounce
in one dimension using multigroup (neutrino-energy--dependent) flux-limited
diffusion (MGFLD) neutrino transport and Lagrangian hydrodynamics, providing
realistic initial conditions for the postbounce convection and evolution. Our
two-dimensional simulation begins at 106 ms after bounce at a time when there
is a well-developed gain region, and proceeds for 400 ms. We couple
two-dimensional (PPM) hydrodynamics to one-dimensional MGFLD neutrino
transport. At 225 ms after bounce we see large-scale convection behind the
shock, characterized by high-entropy, mushroom-like, expanding upflows and
dense, low-entropy, finger-like downflows. The upflows reach the shock and
distort it from sphericity. The radial convection velocities become supersonic
just below the shock, reaching magnitudes in excess of 10^9 cm/sec. Eventually,
however, the shock recedes to smaller radii, and at about 500 ms after bounce
there is no evidence in our simulation of an explosion or of a developing
explosion. Failure in our ``optimistic'' 15 solar mass Newtonian model leads us
to conclude that it is unlikely, at least in our approximation, that
neutrino-driven convection will lead to explosions for more massive stars with
fatter iron cores or in cases in which general relativity is included.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 19:46:30 GMT""}]","2007-05-23"
"astro-ph/9612108","Michael Pahre","S. G. Djorgovski (1), R. R. de Carvalho (1 and 2), R. R. Gal (1), M.
  A. Pahre (1), R. Scaramella (3), and G. Longo (4) ((1) Palomar Observatory,
  Caltech, (2) Observatorio Nacional, CNPq, Brazil, (3) Osservatorio Astr. de
  Roma, Italy, (4) Osservatorio Astr. di Capodimonte, Italy)","Cataloging of the Digitized POSS-II, and Some Initial Scientific Results
  From It","to appear in New Horizons From Multi-Wavelength Sky Surveys,
  Proceedings of IAU Symposium #179, eds. B. McLean et al. (Dordrecht: Kluwer);
  7 pages, no figures; LaTeX, requires crckapb.sty (not included, but available
  from LANL at http://xxx.lanl.gov/ftp/hep-th/papers/macros/); paper is also
  available at http://astro.caltech.edu/~map/map.bibliography.html",,,"CRONA-1","astro-ph",,"  We are conducting an effort to catalog all sources detected in the digitized
POSS-II (DPOSS). This is now becoming an international collaboration including
Caltech and the Observatories of Rome and Naples (project CRONA). There are
also ongoing extensive CCD calibration efforts at Palomar. The resulting
Palomar-Norris Sky Catalog (PNSC) is expected to contain > 5 x 10^7 galaxies,
and > 2 x 10^9 stars, in 3 colors (photographic JFN bands, calibrated to CCD
gri system), down to the limiting magnitude equivalent of B approx 22 mag. The
star-galaxy classification is accurate to 90 - 95% down to the equivalent of B
approx 21 mag. The catalog will be made available to the community via computer
networks or other suitable media, probably in installments, as soon as
scientific validation and quality checks are completed and the funding allows
it. Analysis and manipulation software will also be freely available. A great
variety of scientific projects will be possible with this vast new data base,
including studies of the large-scale structure in the universe, the Galactic
structure, automatic optical identifications of sources from radio through
x-ray bands, generation of objectively defined catalogs of clusters and groups
of galaxies, generation of statistically complete catalogs of galaxies to be
used in future redshift surveys, searches for high-redshift quasars and other
active objects, searches for variable or extreme-color objects, etc. We have
already started work on a number of such projects, and we summarize briefly
some of the results obtained to date.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 20:37:09 GMT""}]","2007-05-23"
"astro-ph/9612109","Carlton M. Baugh","C.S. Frenk, C.M. Baugh, S. Cole (University of Durham), C.G. Lacey
  (TAC Copenhagen)","Numerical and Analytical Modelling of Galaxy Formation and Evolution","13 pages, 6 figures included, needs paspconf.sty file. To appear in
  ``Dark Matter 1996: Dark and Visible Matter in Galaxies and Cosmological
  Implications'', eds M. Persic and P. Salucci",,,,"astro-ph",,"  We review recent developments in theoretical studies of galaxy formation and
evolution. In combination with new data from HST, Keck and other large
telescopes, numerical and semi-analytic modelling is beginning to build up a
coherent picture of galaxy formation. We summarize the current status of
modelling of various galactic properties such as the structure of dark matter
halos, the galaxy luminosity function, the Tully-Fisher relation, the
colour-magnitude relation for ellipticals, the gross morphological properties
of galaxies and the counts of faint galaxies as a function of magnitude,
redshift and morphology. Many of these properties can be explained, at least at
some level, within a broad class of CDM cosmologies, but a number of
fundamental issues remain unresolved. We use our semi-analytic model of galaxy
formation to interpret the evolutionary status of the Lyman-break galaxies at
$z\simeq 3-3.5$ recently discovered by Steidel et al. The abundance and global
properties of these objects are compatible with model predictions in a variety
of CDM cosmologies, including the standard version. All these models predict
mild evolution in the distribution of star formation rates which peaks at
around $z\simeq 1$, but is never much larger than it is at present. The Steidel
et al. Lyman-break galaxies are among the very first objects in which
appreciable star formation is taking place; they thus signal the onset of
galaxy formation. We present three example evolutionary histories of
Lyman-break galaxies which illustrate that these objects are the precursors of
present day, normal, bright ellipticals and spirals.
","[{""version"":""v1"",""created"":""Tue, 10 Dec 1996 23:31:05 GMT""}]","2007-05-23"
