"adap-org/9606002","Kunihiko Kaneko","Kunihiko Kaneko (Univ. of Tokyo,Komaba) and Tetsuya Yomo(Osaka Univ.)","Isologous Diversification: A Theory of Cell Differentiation","LatexText,figures are not included.Bull.Math.Biol., in press",,,,"adap-org nlin.AO q-bio",,"  Isologous diversification theory for cell differentiation is proposed, based
on simulations of interacting cells with biochemical networks and cell division
process following consumption of some chemicals. According to the simulations
of the interaction-based dynamical systems model, the following scenario of the
cell differentiation is proposed. (1) Up to some threshold number, divisions
bring about almost identical cells with synchronized biochemical oscillations.
(2)As the number is increased the oscillations lose the synchrony, leading to
groups of cells with different phases of oscillations. (3)Amplitudes of
oscillation and averaged chemical compositions start to differ by groups of
cells. The differentiated behavior of states is transmitted to daughter cells.
(4)Recursivity is formed so that the daughter cells keep the identical chemical
character. This ``memory"" is made possible through the transfer of initial
conditions. (5) Successive differentiation proceeds. Mechanism of tumor cell
formation, origin of stem cells, anomalous differentiation by transplantations,
apoptosis and other features of cell differentiation process are also
discussed, with some novel predictions. (Keywords: differentiation, chemical
network, cell division, clustering, open chaos)
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 11:52:34 GMT""}]","2008-02-03"
"alg-geom/9606013","Popescu Sorin","Alf Aure, Wolfram Decker, Klaus Hulek, Sorin Popescu, Kristian
  Ranestad","Syzygies of Abelian and Bielliptic Surfaces in P^4","64 pages, author-supplied DVI file available at
  http://oscar.math.brandeis.edu/~popescu/dvi/bielliptics2.dvi AmS-TeX v. 2.1",,,,"alg-geom math.AG",,"  So far only six families of smooth irregular surfaces are known to exist in
P^4 (up to pullbacks by suitable finite covers of P^4). These are the elliptic
quintic scrolls, the minimal abelian and bielliptic surfaces (of degree 10),
two different families of non-minimal abelian surfaces of degree 15, and one
family of non-minimal bielliptic surfaces of degree 15.
  The main purpose of the paper is to describe the structure of the
Hartshorne-Rao modules and the syzygies for each of these smooth irregular
surfaces in P^4, providing at the same time a unified construction method (via
syzygies) for these families of surfaces.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 05:48:41 GMT""},{""version"":""v2"",""created"":""Fri, 14 Mar 1997 22:42:55 GMT""}]","2008-03-07"
"alg-geom/9606014",,"Sheldon Katz, Zhenbo Qin, and Yongbin Ruan","Composition law and Nodal genus-2 curves in P^2","13 pages, AMS-TeX",,,"OSU Math 1996-18","alg-geom math.AG",,"  Recently, there has been great interest in the application of composition
laws to problems in enumerative geometry. Using the moduli space of stable
maps, we compute the number of irreducible, reduced, nodal, degree-$d$
genus-$2$ plane curves whose normalization has a fixed complex structure and
which pass through $3d - 2$ general points in $\Bbb P^2$.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 15:01:23 GMT""}]","2008-02-03"
"astro-ph/9606115","Roger Coziol","Roger Coziol (Instituto Nacional de Pesquisas Espaciais (INPE),
  astrophysics division)","The Role of Starburst in the Chemical Evolution of Galaxies","4 pages with 2 encapsulated postscript figures, ASP Conf. macros
  included, to appear in the proceeding of the ""IAGUSP Workshop on Young
  Galaxies and QSO Absorbers"", April 8-11 , 1996 Santos, SP - Brasil, also
  available at ftp://das.inpe.br/pub/coziol/paper2/ (150.163.31.106)",,,"INPE preprints series: No 02/96","astro-ph",,"  In a diagram of metallicity (\~z) vs. luminosity (M$_B$), the different types
of nearby (Z $< 0.05$) starburst galaxies seem to follow the same linear
relationship as the normal spiral and irregular galaxies. However, for
comparable luminosities the more massive starburst nucleus galaxies (SBNGs)
show a slight metallic defficiency as compared to the giant spiral galaxies.
Furthermore, the SBNGs do not seem to follow the same relationship between \~z
and Hubble type (T) than the normal galaxies. The early-type SBNGs are metal
poor as compared to normal galaxies. It may suggests that the chemical
evolution of a majority of the nearby starbursts galaxies is not completely
over and that the present burst represent an important phase of this process.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 16:22:40 GMT""}]","2007-05-23"
"astro-ph/9606116","Roberto Trasarti Battistoni","R.Trasarti Battistoni, G.Invernizzi, S.Bonometto (Dip.Fisica, Milano)","Clustering of loose groups and galaxies from the Perseus--Pisces Survey","28 pages (LaTeX aasms4 style) + 5 Postscript figures ; ApJ submitted
  on May 4th, 1996; group catalogs available upon request
  (trasarti@astmiu.uni.mi.astro.it)",,"10.1086/303523",,"astro-ph",,"  We investigate the clustering properties of loose groups in the
Perseus--Pisces redshift Survey (PPS). Previous analyses based on CfA and SSRS
surveys led to apparently contradictory results. We investigate the source of
such discrepancies, finding satisfactory explanations for them. Furthermore, we
find a definite signal of group clustering, whose amplitude $A_G$ exceeds the
amplitude $A_g$ of galaxy clustering ($A_G=14.5^{+3.8}_{-3.0}$,
$A_g=7.42^{+0.20}_{-0.19}$ for the most significant case; distances are
measured in $\hMpc$). Groups are identified with the adaptive
Friends--Of--Friends (FOF) algorithms HG (Huchra \& Geller 1982) and NW
(Nolthenius \& White 1987), systematically varying all search parameters.
Correlation strenght is especially sensitive to the sky--link $D_L$ (increasing
for stricter normalization $D_0$), and to the (depth $\mlim$ of the) galaxy
data. It is only moderately dependent on the galaxy luminosity function
$\phi(L)$, while it is almost insensitive to the redshift--link $V_L$ (both to
the normalization $V_0$ and to the scaling recipes HG or NW).
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 16:48:05 GMT""}]","2009-10-28"
"astro-ph/9606117",,"D. Fargion, L. Chiatti, A. Aiello (Phys. Dept. Rome, Italy and
  INFN-Rome, Medical Phys.Lab.CRS-IRE. Rome)","Quantum Mach effect by Sagnac Phase Shift on Cooper pairs in rf-SQUID","In press in Physica C, Superconductivity, 1999",,,"Preprint INFN 1150 21/05/1996","astro-ph",,"  The inertial drag on Cooper pairs in a rotating rf-SQUID ring leads to an
asymmetry in the Hamiltonian potential able to force the average magnetic field
versus in the ring along the angular velocity one. This effect is a Sagnac
signature of Cooper pairs at a quantum level and it may probe the fundamental
quantum Mach principle within detectability levels.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 16:38:12 GMT""},{""version"":""v2"",""created"":""Tue, 19 Oct 1999 19:09:48 GMT""}]","2008-02-03"
"astro-ph/9606118","Niel Brandt","K.A. Pounds, W.N. Brandt","Steep Spectrum Seyfert Galaxies","10 pages, uuencoded compressed postscript, to appear in ""X-ray
  Imaging and Spectroscopy of Cosmic Hot Plasmas"", Tokyo, March 1996",,,,"astro-ph",,"  Seyfert-type AGN that exhibit unusually strong and steep soft X-ray spectra
are reviewed, building on observations made during the ROSAT all-sky survey.
Two individual cases are described in brief detail, both being identified
initially in the small sample of Seyferts detected in the Wide Field Camera
(WFC) survey. In one case the similarity in X-ray appearance to a high state
Galactic Black Hole Candidate (GBHC) is noted, while the flare-like nature of
the second example could represent a detection of the stellar capture process
or a major accretion disc instability. Extending the review to include the
larger (and growing) sample of steep spectrum Seyfert-type galaxies being found
with the ROSAT PSPC, we draw attention to the more common properties of the
group, namely steep spectra, rapid variability, strong Fe II emission and
identification with narrow-line Seyfert 1 galaxies.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 18:06:49 GMT""}]","2007-05-23"
"astro-ph/9606119","Craig Wheeler","J. Craig Wheeler (Dept. of Astronomy, U. of Texas)","Black Hole X-ray Transients","To appear in ""Relativistic Astrophysics: A Conference in Honor of
  Igor Novikov's 60th Birthday"", eds. B. Jones & D. Markovic (Cambridge Univ.
  Press) LaTex plus style file, 23 pages. Also available in postscript from
  http://tycho.as.utexas.edu/~wheel/papers/papers.html",,,,"astro-ph",,"  The observations and theory of the exciting new class of galactic black hole
X-ray transients is reviewed. Seven of these systems have measured mass
functions or mass estimates in excess of stable neutron stars, making them
excellent black hole candidates. Two of them have revealed ``superluminal""
radio jets. Study of the hard and soft radiation from these sources has given
tight constraints on the physics of the viscosity of the accretion disk and
promises firm proof that these systems contain black holes. This will allow us
to search for black holes of more moderate mass and apply the knowledge of
these systems to suspected supermassive black holes in AGN's. The most
plausible mechanism for triggering the outburst of black hole candidate X-ray
transients is the ionization thermal instability. The disk instability models
can give the deduced mass flow in quiescence, but not the X-ray spectrum.
Advection models that can account for the quiescent X-ray spectrum are
difficult to match with the non-steady state, quiescent Keplerian disks.
Self-irradiation of the disk in outburst may not lead to X-ray reprocessing as
the dominant source of optical light, but may play a role in the ``reflare.""
The hard power-law spectrum and radio bursts may be non-thermal processes
driven by the flow of pair--rich plasma from the disk at early times and due to
the formation of a pair--rich plasma corona at late times. The repeated
outbursts in systems like GRO J0422+32 suggest some sort of clock, but it is
unlikely that it has anything to do with a simple X-ray heating of the
companion star. These systems typically have low mass secondaries and their
evolutionary origin is still mysterious.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 21:25:40 GMT""}]","2007-05-23"
"astro-ph/9606120",,"Jack O. Burns (1), Michael J. Ledlow (1), Chris Loken (1), Anatoly
  Klypin (1), Wolfgang Voges (2), Greg L. Bryan (3), Michael L. Norman (3),
  Richard. A. White (4) ((1) NMSU, (2) MPE, (3) NCSA/U. Illinois, (4)
  NASA/Goddard)","The X-ray Luminosity Function and Gas Mass Function for
  Optically-Selected Poor + Rich Clusters of Galaxies","9 pages, LaTex, 1 Postscript table, 2 Postscript figures. Fig. 1 is a
  GIF, full version at ftp://astro.nmsu.edu/pub/CHRIS/xlumfig1.ps.gz , accepted
  for publication in ApJ Letters",,"10.1086/310198",,"astro-ph",,"  We present the first X-ray Luminosity Function (XLF) for an
optically-selected sample of 49 nearby poor clusters of galaxies and a sample
of 67 Abell clusters with z < 0.15. We have extended the measured cluster XLF
by more than a factor of 10 in X-ray luminosity. Our poor cluster sample was
drawn from an optical catalog of groups with 0.01<z<0.03 composed of Zwicky
galaxies. The X-ray emission was measured from the ROSAT all-sky survey. About
45% of the poor clusters were detected with 0.5-2.0 keV luminosities from
(1.7-65)x 10^{41} h^{-2} ergs/sec. These are among the X-ray brightest,
optically-selected poor clusters in the northern hemisphere. For this sample,
the poor cluster XLF was found to be smooth extrapolation of the rich cluster
XLF. A new Hydro/N-body simulation of a Hot +Cold dark matter model with
\Omega_{total}=1, \Omega_{\nu}=0.2, and a baryon fraction of 7.5% was used to
model and understand our observational selection effects. We found that the
observed cluster Gas Mass Function was consistent with our model.
","[{""version"":""v1"",""created"":""Wed, 19 Jun 1996 22:41:38 GMT""}]","2009-10-28"
"astro-ph/9606122","Yipeng Jing","Y.P. Jing, G. Boerner (MPA, Garching)","Three-point correlation function in the quasilinear regime","uu-gz-ps file; 7 pages; figures included; Accepted for publication in
  Astronomy and Astrophysics","Astron.Astrophys.318:667-672,1997",,,"astro-ph",,"  Using the second-order Eulerian perturbation theory (SEPT), we study the
three-point correlation function $\zeta$ in the quasilinear regime for the
SCDM, LCDM and MDM models, with the interesting result that these three models
have distinctive three-point correlation functions. We test this SEPT
prediction using a large set of high-resolution N-body simulations. The N-body
results show that the SEPT prediction for $\zeta$ is not accurate even in the
quasilinear regime ($r\la 10 \mpc$), in contrast to previous N-body tests on
the skewness. However, similar to the perturbation theory, our N-body results
still predict a strong dependence of the three-point correlation on the
triangle shape which is observable in the distribution of galaxies if the
galaxies trace the distribution of the underlying mass
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 08:59:55 GMT""}]","2011-05-23"
"astro-ph/9606125","Peter Widerin","Christoph Schmid, Dominik J. Schwarz, and Peter Widerin","Peaks above the Harrison-Zel'dovich spectrum due to the Quark-Gluon to
  Hadron Transition","Extended version, including evolution of density perturbations for a
  bag model and for a lattice QCD fit (3 new figures). Spectrum for bag model
  (old figure) is available in astro-ph/9611186. 9 pages RevTeX, uses epsf.sty,
  3 PS figures","Phys.Rev.Lett.78:791-794,1997","10.1103/PhysRevLett.78.791","ETH-TH/96-17","astro-ph gr-qc hep-ph",,"  The quark-gluon to hadron transition affects the evolution of cosmological
perturbations. If the phase transition is first order, the sound speed vanishes
during the transition, and density perturbations fall freely. This distorts the
primordial Harrison-Zel'dovich spectrum of density fluctuations below the
Hubble scale at the transition. Peaks are produced, which grow at most linearly
in wavenumber, both for the hadron-photon-lepton fluid and for cold dark
matter. For cold dark matter which is kinetically decoupled well before the QCD
transition clumps of masses below $10^{-10} M_\odot$ are produced.
","[{""version"":""v1"",""created"":""Thu, 20 Jun 1996 14:55:22 GMT""},{""version"":""v2"",""created"":""Mon, 25 Nov 1996 11:12:46 GMT""}]","2008-11-26"
