"alg-geom/9609003","Guillermo Matera","B. Bank, M. Giusti, J. Heintz, R. Mandel, G. M. Mbakop","Polar Varieties and Efficient Real Equation Solving: The Hypersurface
  Case","Latex",,,,"alg-geom math.AG",,"  The objective of this paper is to show how the recently proposed method by
Giusti, Heintz, Morais, Morgenstern, Pardo \cite{gihemorpar} can be applied to
a case of real polynomial equation solving. Our main result concerns the
problem of finding one representative point for each connected component of a
real bounded smooth hypersurface. The algorithm in \cite{gihemorpar} yields a
method for symbolically solving a zero-dimensional polynomial equation system
in the affine (and toric) case. Its main feature is the use of adapted data
structure: Arithmetical networks and straight-line programs. The algorithm
solves any affine zero-dimensional equation system in non-uniform sequential
time that is polynomial in the length of the input description and an
adequately defined {\em affine degree} of the equation system. Replacing the
affine degree of the equation system by a suitably defined {\em real degree} of
certain polar varieties associated to the input equation, which describes the
hypersurface under consideration, and using straight-line program codification
of the input and intermediate results, we obtain a method for the problem
introduced above that is polynomial in the input length and the real degree.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 1996 01:26:32 GMT""}]","2008-02-03"
"alg-geom/9609004","Guillermo Matera","B. Bank, M. Giusti, J. Heintz, G.M. Mbakop","Polar Varieties, Real Equation Solving and Data-Structures: The
  hypersurface case","Latex",,,,"alg-geom math.AG",,"  In this paper we apply for the first time a new method for multivariate
equation solving which was developed in \cite{gh1}, \cite{gh2}, \cite{gh3} for
complex root determination to the {\em real} case. Our main result concerns the
problem of finding at least one representative point for each connected
component of a real compact and smooth hypersurface. The basic algorithm of
\cite{gh1}, \cite{gh2}, \cite{gh3} yields a new method for symbolically solving
zero-dimensional polynomial equation systems over the complex numbers. One
feature of central importance of this algorithm is the use of a
problem--adapted data type represented by the data structures arithmetic
network and straight-line program (arithmetic circuit). The algorithm finds the
complex solutions of any affine zero-dimensional equation system in non-uniform
sequential time that is {\em polynomial} in the length of the input (given in
straight--line program representation) and an adequately defined {\em geometric
degree of the equation system}. Replacing the notion of geometric degree of the
given polynomial equation system by a suitably defined {\em real (or complex)
degree} of certain polar varieties associated to the input equation of the real
hypersurface under consideration, we are able to find for each connected
component of the hypersurface a representative point (this point will be given
in a suitable encoding). The input equation is supposed to be given by a
straight-line program and the (sequential time) complexity of the algorithm is
polynomial in the input length and the degree of the polar varieties mentioned
above.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 1996 01:27:49 GMT""}]","2008-02-03"
"alg-geom/9609005","Guillermo Matera","M. Giusti, J. Heintz, J.E. Morais, J. Morgenstern, L.M. Pardo","Straight--Line Programs in Geometric Elimination Theory","Latex. To appear in Journal of Pure and Applied Algebra",,,,"alg-geom math.AG",,"  We present a new method for solving symbolically zero--dimensional polynomial
equation systems in the affine and toric case. The main feature of our method
is the use of problem adapted data structures: arithmetic networks and
straight--line programs. For sequential time complexity measured by network
size we obtain the following result: it is possible to solve any affine or
toric zero--dimensional equation system in non--uniform sequential time which
is polynomial in the length of the input description and the ``geometric
degree"" of the equation system. Here, the input is thought to be given by a
straight--line program (or alternatively in sparse representation), and the
length of the input is measured by number of variables, degree of equations and
size of the program (or sparsity of the equations). The geometric degree of the
input system has to be adequately defined. It is always bounded by the
algebraic--combinatoric ""B\'ezout number"" of the system which is given by the
Hilbert function of a suitable homogeneous ideal. However, in many important
cases, the value of the geometric degree of the system is much smaller than its
B\'ezout number since this geometric degree does not take into account
multiplicities or degrees of extraneous components (which may appear at
infinity in the affine case or may be contained in some coordinate hyperplane
in the toric case). Our method contains a new application of a classic tool to
symbolic computation: we use Newton iteration in order to simplify
straight--line programs occurring in elimination procedures. Our new technique
allows for practical implementations a meaningful characterization of the
intrinsic {\it algebraic complexity} of typic elimination problems and reduces
the still unanswered question of their intrinsic {\it bit complexity} to
","[{""version"":""v1"",""created"":""Fri, 6 Sep 1996 01:45:22 GMT""}]","2008-02-03"
"astro-ph/9609037","Tomasz Plewa","A. Kudlicki (N. Copernicus Astronomical Centre), T. Plewa (MPA), and
  M. Rozyczka (Warsaw University Observatory and N. Copernicus Astronomical
  Centre)","CPPA -- a New Hydrodynamical Code for Cosmological Large-Scale Structure
  Simulations","12 pages, Postscript file, figures 6-8 available as gifs. Original
  postscript at http://www.mpa-garching.mpg.de/~tomek/papers/cppa/ Accepted for
  publication in Acta Astron",,,,"astro-ph",,"  We present a new Eulerian code able to follow the evolution of large-scale
structures in the Universe in the weakly nonlinear regime. We compare test
results with a N-body code and analytical results.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 16:04:34 GMT""}]","2007-05-23"
"astro-ph/9609038","R. R. Caldwell","B. Allen (1), R.R. Caldwell (2), E.P.S. Shellard (2), A. Stebbins (3),
  and S. Veeraraghavan (4) ((1) University of Wisconsin - Milwaukee, (2)
  University of Cambridge - DAMTP, (3) NASA/Fermilab Astrophysics Center, (4)
  NASA/Goddard Space Flight Center)","Large Angular Scale CMB Anisotropy Induced by Cosmic Strings","4 pages, RevTeX, two postscript files, also available at
  http://www.damtp.cam.ac.uk/user/defects/ to appear in Physical Review
  Letters, 23 September 1996","Phys.Rev.Lett.77:3061-3065,1996","10.1103/PhysRevLett.77.3061","DAMTP R96/23, FERMILAB-Pub-96/265-A, WISC-MILW-96/21","astro-ph gr-qc",,"  We simulate the anisotropy in the cosmic microwave background (CMB) induced
by cosmic strings. By numerically evolving a network of cosmic strings we
generate full-sky CMB temperature anisotropy maps. Based on $192$ maps, we
compute the anisotropy power spectrum for multipole moments $\ell \le 20$. By
comparing with the observed temperature anisotropy, we set the normalization
for the cosmic string mass-per-unit-length $\mu$, obtaining $G\mu/c^2=1.05
{}^{+0.35}_{-0.20} \times10^{-6}$, which is consistent with all other
observational constraints on cosmic strings. We demonstrate that the anisotropy
pattern is consistent with a Gaussian random field on large angular scales.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 16:21:37 GMT""}]","2008-11-26"
"astro-ph/9609039","Hara Papathanassiou","Hara Papathanassiou, Peter Meszaros (Penn State University)","Spectra of Unsteady Wind Models of Gamma-Ray Bursts","10 pages, 2 postscript figures included, uses aaspp4.sty. Accepted
  for publication in the Astrophysical Journal Letters. Also available at
  http://www.astro.psu.edu/users/hara/Preprints/xxx_sub.ps","Astrophys.J. 471 (1996) L9-L12","10.1086/310343",,"astro-ph",,"  We calculate the spectra expected from unsteady relativistic wind models of
gamma-ray bursts, suitable for events of arbitrary duration. The spectral
energy distribution of the burst is calculated over photon energies spanning
from eV to TeV, for a range of event durations and variability timescales. The
relative strength of the emission at different wavelengths can provide valuable
information on the particle acceleration, radiation mechanisms and the possible
types of models.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 18:47:29 GMT""}]","2009-10-28"
"astro-ph/9609040","Alice Quillen","A. C. Quillen & J. A. Frogel","The Distribution of Dark Matter in a Ringed Galaxy","AAS Latex + jpg Figures, Accepted for publication in ApJ","Astrophys.J. 487 (1997) 603","10.1086/304621",,"astro-ph",,"  Outer rings are located at the greatest distance from the galaxy center of
any feature resonant with a bar. Because of their large scale, their morphology
is sensitive to the distribution of the dark matter in the galaxy. We introduce
here how study of these rings can constrain the mass-to-light ratio of the bar,
and so the percentage of dark matter in the center of these galaxies. We
compare periodic orbits integrated in the ringed galaxy NGC 6782 near the outer
Lindblad resonance to the shape of the outer ring. The non-axisymmetric
component of the potential resulting from the bar is derived from a
near-infrared image of the galaxy. The axisymmetric component is derived
assuming a flat rotation curve. We find that the pinched non-self-intersecting
periodic orbits are more elongated for higher bar mass-to-light ratios and
faster bars. The inferred mass-to-light ratio of the bar depends on the assumed
inclination of the galaxy. With an assumed galaxy inclination of i=41 degrees,
for the orbits to be consistent with the observed ring morphology the
mass-to-light ratio of the bar must be high, greater than 70% of a maximal disk
value. For i=45 degrees, the mass-to-light ratio of the bar is $75\pm 15%$ of
the maximal disk value. Since the velocity field of these rings can be used to
constrain the galaxy inclination as well as which periodic orbit is represented
in the ring, further study will yield tighter constraints on the mass-to-light
ratio of the bar. If a near maximal disk value for the bar is required, then
either there would be little dark matter within the bar, or the dark matter
contained in the disk of the galaxy would be non-axisymmetric and would rotate
with the bar.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 19:05:47 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 1997 17:13:16 GMT""},{""version"":""v3"",""created"":""Tue, 20 May 1997 17:37:51 GMT""}]","2016-08-30"
"astro-ph/9609041","Alice Quillen","A. C. Quillen","Morphology of Cold Bars in Early and Late Type Galaxies","AAS Latex + Postscript Figures, submitted to ApJ",,,,"astro-ph",,"  We compare stellar orbits in an early (NGC 4314) and a late-type barred
galaxy (NGC 1073). We find that these bars are cold in the sense that the
majority of stars can be described as being nearby to periodic orbits. We place
limits of (65km/s)^2 and (50km/s)^2 on the components of the diagonalized
velocity dispersion ellipsoid matrix for stars in the bars of NGC 4314 and NGC
1073 respectively. Both bars end near the inner 4:1 Lindblad (ultraharmonic)
resonance. We conjecture that a large class of bars end near this resonance.
The morphology of the bars depends on the strength of the 4:1 resonance, which
is strong in the early-type barred galaxy and weak in the other. This results
in a flat bar major axis surface brightness profile for the early-type bar and
an exponential profile for the late-type bar.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 19:09:17 GMT""}]","2007-05-23"
"astro-ph/9609042","Alice Quillen","A. C. Quillen, L. E. Kuchinski, J. A. Frogel, & D. L. DePoy","Discovery of a Boxy Peanut Shaped Bulge in the Near Infrared","AAS Latex and Postcript Figures, accepted for publication in ApJ",,"10.1086/304054",,"astro-ph",,"  We report on the discovery of a boxy/peanut shaped bulge in the highly
inclined barred Seyfert 2 galaxy NGC~7582. The peanut shape is clearly evident
in near infrared $JHK$ images but obscured by extinction from dust in visible
$BVR$ images. This suggests that near infrared imaging surveys will discover a
larger number of boxy/peanut morphologies than visible surveys, particularly in
galaxies with heavy extinction such as NGC~7582. The bulge in NGC~7582 exhibits
strong boxiness compared to other boxy/peanut shaped bulges. If the starburst
was mediated by the bar, then it is likely that the bar formed in less than a
few bar rotation periods or a few $\times 10^8$ years ago. If the bar also
caused the peanut, then the peanut would have formed quickly; on a timescale of
a few bar rotation periods.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 19:43:33 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 1997 17:04:03 GMT""}]","2009-10-28"
"astro-ph/9609043","Nick Kaiser","Nick Kaiser and Andrew Jaffe (CITA, U. Toronto)","Bending of Light by Gravity Waves","14 pages, aastex, submitted to Astrophysical Journal","Astrophys.J.484:545-554,1997","10.1086/304357","CITA-96-13","astro-ph",,"  We describe the statistical properties of light rays propagating though a
random sea of gravity waves and compare with the case for scalar metric
perturbations from density inhomogeneities. For scalar fluctuations the
deflection angle grows as the square-root of the path length $D$ in the manner
of a random walk, and the rms displacement of a ray from the unperturbed
trajectory grows as $D^{3/2}$. For gravity waves the situation is very
different. The mean square deflection angle remains finite and is dominated by
the effect of the metric fluctuations at the ends of the ray, and the mean
square displacement grows only as the logarithm of the path length. In terms of
power spectra, the displacement for scalar perturbations has $P(k) \propto 1/
k^4$ while for gravity waves the trajectories of photons have $P(k) \propto
1/k$ which is a scale-invariant or `flicker-noise' process, and departures from
rectilinear motion are suppressed, relative to the scalar case, by a factor
$\sim (\lambda / D)^{3/2}$ where $\lambda$ is the characteristic scale of the
metric fluctuations and $D$ is the path length. This result casts doubt on the
viability of some recent proposals for detecting or constraining the gravity
wave background by astronomical measurements.
","[{""version"":""v1"",""created"":""Thu, 5 Sep 1996 20:28:21 GMT""}]","2010-11-30"
