"alg-geom/9603017","Robert Lazarsfeld","Lawrence Ein, Robert Lazarsfeld","Singularities of Theta Divisors, and the Birational Geometry of
  Irregular Varieties","19 pages, AMS-TeX, v. 2.1",,,,"alg-geom math.AG",,"  The purpose of this paper is to show how the generic vanishing theorems of M.
Green and the second author can be used to settle several questions and
conjectures concerning the geometry of irregular complex projective varieties.
First, we prove a conjecture of Arbarello and DeConcini characterizing
principally polarized abelian varieties whose theta divisors are singular in
codimension one. Secondly, we study the holomorphic Euler characteristics of
varieties of general type having maximal Albanese dimension: we verify a
conjecture of Kollar for subvarieties of abelian varieties, but show that it
fails in general. Finally, we give a surprisingly simple new proof of a
fundamental theorem of Kawamata concerning the Albanese mapping of projective
varieties of Kodaira dimension zero.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 19:26:01 GMT""}]","2008-02-03"
"astro-ph/9603120","Gerald H. Moriarty-Schieven","G. H. Moriarty-Schieven (Dominion Radio Astrophysical Observatory), T.
  Xie (Laboratory for Millimeterwave Astronomy, Univ. of Maryland), & N. A.
  Patel (Center for Astrophysics)","HI ``Tails'' from Cometary Globules in IC1396","11 pages, 5 postscript figures, uses aaspp4.sty macros, submitted in
  uuencoded gzipped tar format, accepted for publication in Astrophysical
  Journal Letters, colour figures available at
  http://www.drao.nrc.ca/~schieven/news_sep95/ic1396.html",,"10.1086/310064",,"astro-ph",,"  IC 1396 is a relatively nearby (750 pc), large (>2 deg), HII region ionized
by a single O6.5V star and containing bright-rimmed cometary globules. We have
made the first arcmin resolution images of atomic hydrogen toward IC 1396, and
have found remarkable ``tail''-like structures associated with some of the
globules and extending up to 6.5 pc radially away from the central ionizing
star. These HI ``tails'' may be material which has been ablated from the
globule through ionization and/or photodissociation and then accelerated away
from the globule by the stellar wind, but which has since drifted into the
``shadow'' of the globules.
  This report presents the first results of the Galactic Plane Survey Project
recently begun by the Dominion Radio Astrophysical Observatory.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 23:30:19 GMT""}]","2016-08-30"
"astro-ph/9603121",,"Eric Gawiser and George F. Smoot","Contribution of Extragalactic Infrared Sources to CMB Foreground
  Anisotropy","14 pages (LaTex source), 3 PostScript figures. Final version, to
  appear in ApJLetters May 1. Expanded discussion of systematic errors","Astrophys.J. 480 (1997) L1-L4","10.1086/310610",,"astro-ph",,"  We estimate the level of confusion to Cosmic Microwave Background anisotropy
measurements caused by extragalactic infrared sources. CMB anisotropy
observations at high resolution and high frequencies are especially sensitive
to this foreground. We use data from the COBE satellite to generate a Galactic
emission spectrum covering mm and sub-mm wavelengths. Using this spectrum as a
template, we predict the microwave emission of the 5319 brightest infrared
galaxies seen by IRAS. We simulate skymaps over the relevant range of
frequencies (30-900 GHz) and instrument resolutions (10'-10 degrees Full Width
Half Max). Analysis of the temperature anisotropy of these skymaps shows that a
reasonable observational window is available for CMB anisotropy measurements.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 01:46:28 GMT""},{""version"":""v2"",""created"":""Tue, 25 Mar 1997 13:27:12 GMT""}]","2009-10-28"
"astro-ph/9603122","Andreas Burkert","A. Burkert (MPI Heidelberg), Y. Yoshii (IOA, Tokyo)","The origin of galactic disks with exponential z-profiles","5 pages + 3 figures, uuencoded gzipped tar format, submitted to
  MNRAS. Text and figures also available at
  http://www.mpia-hd.mpg.de/MPIA/Projects/THEORY/preprints.html",,,,"astro-ph",,"  A new solution is presented for the puzzling, observed universality of the
exponential luminosity profiles, perpendicular to the disk plane of spiral and
lenticular galaxies. It is shown that such exponential $z$-profiles result
naturally from gaseous protodisks which settle into isothermal equilibrium
prior to star formation. Subsequent cooling leads to a gravitational
contraction of the gas towards the equatorial plane and to a stellar
exponential $z$-profile if the star formation rate is assumed to be comparable
to the cooling rate of the gas. The final stellar scale height depends only on
the initial gas temperature and local surface density. This model therefore
provides a new method to investigate the early energetic state of galactic
protodisks with measured scale heights and surface densities along the disk
plane.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 15:30:28 GMT""}]","2007-05-23"
"astro-ph/9603123","Martin Pohl","M. Pohl, A. Muecke, W. Reich, P. Reich, R. Schlickeiser, H. Ungerechts","Radio observations of gamma-ray blazars","6 pages, Proceedings of the ""Blazar Variability Workshop"", Miami,
  February 1996",,,,"astro-ph",,"  Starting in 1991 we have performed a regular monitoring of EGRET sources with
the Effelsberg 100-m telescope and the IRAM 30-m at Pico Veleta. In comparison
with data on a sample of flat-spectrum quasars which have not been seen by
EGRET we search for correlations of any kind in the behaviour of FSRQ's in the
radio and gamma-ray regime. While there is no radio-to-gamma-ray luminosity
correlation for these sources, it seems that gamma-ray high states coincide
with increased activity in the radio regime with a strong tendency that
gamma-ray outbursts precede radio outbursts. The gamma-ray spectra seem to
harden with increasing flux level.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 15:57:34 GMT""}]","2007-05-23"
"atom-ph/9603005","Kristinn Johnsen","Kristinn Johnsen, Jakob Yngvason","Density Matrix Functional Calculations for Matter in Strong Magnetic
  Fields: I. Atomic Properties","Revtex, 13 pages with 6 eps figures included",,"10.1103/PhysRevA.54.1936",,"atom-ph astro-ph physics.atom-ph",,"  We report on a numerical study of the density matrix functional introduced by
Lieb, Solovej and Yngvason for the investigation of heavy atoms in high
magnetic fields. This functional describes {\em exactly} the quantum mechanical
ground state of atoms and ions in the limit when the nuclear charge $Z$ and the
electron number $N$ tend to infinity with $N/Z$ fixed, and the magnetic field
$B$ tends to infinity in such a way that $B/Z^{4/3}\to\infty$. We have
calculated electronic density profiles and ground state energies for values of
the parameters that prevail on neutron star surfaces and compared them with
results obtained by other methods. For iron at $B=10^{12}$ G the ground state
energy differs by less than 2 \% from the Hartree-Fock value. We have also
studied the maximal negative ionization of heavy atoms in this model at various
field strengths. In contrast to Thomas-Fermi type theories atoms can bind
excess negative charge in the density matrix model. For iron at $B=10^{12}$ G
the maximal excess charge in this model corresponds to about one electron.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 16:43:10 GMT""}]","2009-10-28"
"atom-ph/9603007","Saha Bijan","Yu. P. Rybakov and B. Saha","TM-Surface Waves along the Boundary between two Nonlinear Anisotropic
  Dielectrics","LaTeX, 7 pages",,,"JINR Preprint E2-95-350","atom-ph physics.atom-ph",,"  It is shown that the Maxwell's equations for surface electromagnetic
TM-waves, propagating along the plane boundary between two nonlinear
dielectrics with arbitrary diagonal tensor of dielectric permittivity,
depending of |{\bf E}|, can be integrated in quadrature.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 14:13:15 GMT""}]","2008-02-03"
"cond-mat/9603145","David S. Dean","D.S. Dean, I.T. Drummond and R.R. Horgan","Renormalization of Drift and Diffusivity in Random Gradient Flows","Latex 16 pages, 5 figures eps",,"10.1088/0305-4470/29/24/012","DAMTP-96-34","cond-mat",,"  We investigate the relationship between the effective diffusivity and
effective drift of a particle moving in a random medium. The velocity of the
particle combines a white noise diffusion process with a local drift term that
depends linearly on the gradient of a gaussian random field with homogeneous
statistics. The theoretical analysis is confirmed by numerical simulation. For
the purely isotropic case the simulation, which measures the effective drift
directly in a constant gradient background field, confirms the result
previously obtained theoretically, that the effective diffusivity and effective
drift are renormalized by the same factor from their local values. For this
isotropic case we provide an intuitive explanation, based on a {\it spatial}
average of local drift, for the renormalization of the effective drift
parameter relative to its local value. We also investigate situations in which
the isotropy is broken by the tensorial relationship of the local drift to the
gradient of the random field. We find that the numerical simulation confirms a
relatively simple renormalization group calculation for the effective
diffusivity and drift tensors.
","[{""version"":""v1"",""created"":""Thu, 21 Mar 1996 17:47:19 GMT""}]","2009-10-28"
"cond-mat/9603146","Klaus Frahm","K. M. Frahm, P. W. Brouwer, J. A. Melsen, and C. W. J. Beenakker","Effect of the coupling to a superconductor on the level statistics of a
  metal grain in a magnetic field","4 pages, 2 figures, to appear in Phys. Rev. Lett","Phys. Rev. Lett. 76, 2981 (1996)","10.1103/PhysRevLett.76.2981",,"cond-mat",,"  A theory is presented for the statistics of the excitation spectrum of a
disordered metal grain in contact with a superconductor. A magnetic field is
applied to fully break time-reversal symmetry in the grain. Still, an
excitation gap of the order of $\delta$ opens up provided $N\Gamma^2\gtrsim 1$.
Here $\delta$ is the mean level spacing in the grain, $\Gamma$ the tunnel
probability through the contact with the superconductor, and $N$ the number of
transverse modes in the contact region. This provides a microscopic
justification for the new random-matrix ensemble of Altland and Zirnbauer.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 10:45:31 GMT""}]","2007-05-23"
"gr-qc/9603034","Fodor Gyula","G. Fodor, K. Nakamura, Y. Oshiro and A. Tomimatsu","Surface gravity in dynamical spherically symmetric spacetimes","35 pages, revtex, 3 figures included using epsf","Phys.Rev.D54:3882-3891,1996","10.1103/PhysRevD.54.3882","DPNU-96-20","gr-qc",,"  A definition of surface gravity at the apparent horizon of dynamical
spherically symmetric spacetimes is proposed. It is based on a unique foliation
by ingoing null hypersurfaces. The function parametrizing the hypersurfaces can
be interpreted as the phase of a light wave uniformly emitted by some far-away
static observer. The definition gives back the accepted value of surface
gravity in the static case by virtue of its nonlocal character. Although the
definition is motivated by the behavior of outgoing null rays, it turns out
that there is a simple connection between the generalized surface gravity, the
acceleration of any radially moving observer, and the observed frequency change
of the infalling light signal. In particular, this gives a practical and simple
method of how any geodesic observer can determine surface gravity by measuring
only the redshift of the infalling light wave. The surface gravity can be
expressed as an integral of matter field quantities along an ingoing null line,
which shows that it is a continuous function along the apparent horizon. A
formula for the area change of the apparent horizon is presented, and the
possibility of thermodynamical interpretation is discussed. Finally, concrete
expressions of surface gravity are given for a number of four-dimensional and
two-dimensional dynamical black hole solutions.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 07:54:48 GMT""}]","2011-09-09"
"gr-qc/9603035","Saha Bijan","R. Alvarado, Yu. P. Rybakov, B. Saha and G. N. Shikin","Exact Self-consistent Solutions to the Interacting Spinor and Scalar
  Field Equations in Bianchi Type-I Space-time","LaTeX, 10 pages","Russ.Phys.J. 38 (1995) 700-705; Izv.Vuz.Fiz. 38N7 (1995) 53-58",,"JINR Preprint E2-95-16","gr-qc",,"  Self-consistent solutions to the system of spinor and scalar field equations
in General Relativity are studied for the case of Bianchi type-I space-time. It
should be emphasized the absence of initial singularity for some types of
solutions and also the isotropic mode of space-time in some special case.
","[{""version"":""v1"",""created"":""Fri, 22 Mar 1996 13:54:31 GMT""}]","2007-05-23"
