"alg-geom/9608033","Gerd Dethloff","T. Bandman and G. Dethloff","Estimates of the number of rational mappings from a fixed variety to
  varieties of general type","A revised version. The presentation of results and proofs has been
  improved. AMS-TeX, 19 pages","Ann. Inst. Fourier 47, 801-824 (1997)",,,"alg-geom math.AG",,"  First we find effective bounds for the number of dominant rational maps $f:X
\rightarrow Y$ between two fixed smooth projective varieties with ample
canonical bundles. The bounds are of the type $\{A \cdot K_X^n\}^{\{B \cdot
K_X^n\}^2}$, where $n=dimX$, $K_X$ is the canonical bundle of $X$ and $A,B $
are some constants, depending only on $n$. Then we show that for any variety
$X$ there exist numbers $c(X)$ and $C(X)$ with the following properties: For
any threefold $Y$ of general type the number of dominant rational maps $f:X \r
Y$ is bounded above by $c(X)$. The number of threefolds $Y$, modulo birational
equivalence, for which there exist dominant rational maps $f:X \r Y$, is
bounded above by $C(X)$. If, moreover, $X$ is a threefold of general type, we
prove that $c(X)$ and $C(X)$ only depend on the index $r_{X_c}$ of the
canonical model $X_c$ of $X$ and on $K_{X_c}^3$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:39:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Feb 1997 08:33:31 GMT""}]","2014-12-01"
"astro-ph/9608185","Ed Stoeffhaas","F. Halzen","Active Galaxies as Particle Accelerators","14 pages, Latex, 6 postscript figures embedded using epsf.sty. Talk
  given at The VIIIth Rencontres de Blois, ""Neutrinos, Dark Matter and the
  Universe"", Blois, France (1996) and at Neutrino 96, Helsinki, Finland (1996).
  Z-compressed postscript version of paper with figures available at
  http://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-958.ps.Z or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1996/madph-96-958.ps.Z",,,"MADPH-96-958","astro-ph hep-ph",,"  We present the theoretical arguments and describe the accumulating
experimental evidence that jets, powered by supermassive black holes, are true
cosmic accelerators. They produce photons of TeV energy, possible higher, and
may be the enigmatic source of the highest energy cosmic rays. The features of
the multi-wavelength emission spectrum are dictated by the interactions of
electrons and protons, accelerated in the vicinity of the black hole, with the
ambient light in the galaxy. Photoproduction of neutral pions by protons on UV
light is the source of the highest energy photons, in which most of the
bolometric luminosity of the galaxy may be emitted. They initiate an
electromagnetic cascade which via pair production on the magnetic field and
photon-photon interactions determines the emerging gamma-ray spectrum at lower
energies. The lower energy photons, observed by conventional astronomical
techniques, are, as a result of the cascade process, several generations
removed from the primary high energy beams. The case that proton beams power
active galaxies is far from conclusive. A three-prong technological assault on
the problem will, in the near future, hopefully provide new insights into the
structure of active galactic nuclei with the construction of second-generation
atmospheric Cherenkov telescopes, large-scale EeV cosmic ray detectors and high
energy neutrino telescopes.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 19:44:59 GMT""}]","2007-05-23"
"astro-ph/9608188","Vincenzo Antonuccio-Delogu","U. Becciani, V. Antonuccio-Delogu (Osservatorio Astrofisico di
  Catania, ITALY) and A. Pagliaro (Universita' di Catania, ITALY)","A Work- and Data-Sharing Parallel Tree N-body Code","16 pages, 8 figures. Uses elsart.sty and epsf.sty. Accepted for
  publication in Computer Physics Communications",,"10.1016/S0010-4655(96)00121-X",,"astro-ph",,"  We describe a new parallel N-body code for cosmological simulations. The code
is based on a work- and data sharing scheme, and is implemented within the Cray
Research Corporation's CRAFT programming environment. Different data
distribution schemes have been adopted for bodies' and tree's structures. Tests
performed for two different types of initial distributions show that the
performance scales almost ideally as a function of the size of the system and
of the number of processors. We discuss the factors affecting the absolute
speedup and how it can be increased with a better tree's data distribution
scheme.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 16:06:35 GMT""}]","2009-10-28"
"astro-ph/9608189","Dave Bowen","David V. Bowen (Royal Observatory, Edinburgh), Eline Tolstoy (ST-ECF),
  Andrea Ferrara (Arcetri), J. Chris Blades (STScI), Elias Brinks (NRAO)","The absence of diffuse gas around the dwarf spheroidal galaxy Leo I","New version, re-submitted to Archive Oct-22-1996 with corrections to
  the mass estimate of gas around the galaxy. 20 pages plain LaTeX including 3
  Postscript figures. Uses AASTeX macros",,"10.1086/303823",,"astro-ph",,"  We have obtained spectra of three QSO/AGNs with the GHRS aboard the Hubble
Space Telescope to search for absorption from low column density gas in the
halo of the dwarf spheroidal (dSph) galaxy Leo I. The probe sightlines pass
2.1, 3.7, and 8.1 kpc from the center of the galaxy, but no CIV, SiII, or SiIV
absorption is found at the velocity of Leo I. The absence of low ionization
species suggests that the column density of neutral hydrogen which exists
within 2-4 kpc of the galaxy is N(HI) < 10^{17} cm^{-2}; assuming that the high
ionization lines of SiIV and CIV dominate the ionization fraction of silicon
and carbon, the limit to the total hydrogen column is N(H) < 10^{18} cm^{-2}.
Our results demonstrate that there are no dense flows of gas in or out of Leo
I, and that there is no evidence for tidally disrupted gas which might have
accompanied the galaxy's formation or evolution. However, our detection limits
are insufficient to rule out the existence of a sphere or shell of ionized gas
around the dSph, with a mass up to that constituting the entire galaxy. Our
models show that dSph galaxies similar to Leo I are not massive enough to have
halos which can contribute significantly to the metal line absorption
cross-section of QSO absorbers seen at high redshift.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 16:03:25 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 13:42:51 GMT""},{""version"":""v3"",""created"":""Tue, 22 Oct 1996 12:28:46 GMT""}]","2009-10-28"
"astro-ph/9608190","Dave Bowen","David V. Bowen (Royal Observatory, Edinburgh), Samantha J. Osmer, J.
  Chris Blades (STScI), and David Tytler (UC San Diego)","Redshifts of galaxies close to bright QSO lines of sight","MNRAS in press. 9 pages LaTeX using MNRAS sty. Postscript figures are
  excluded due to large size. Paper with figures can be obtained from
  http://www.roe.ac.uk/research/bowen1.ps.Z",,"10.1093/mnras/284.3.599",,"astro-ph",,"  To expand the known number of low-redshift galaxies which lie close to bright
($V < 17.2$) QSO lines of sight, we have identified 24 galaxies within 11
arcmins of nine QSOs which have been observed with the Hubble Space Telescope
(HST). Galaxies are found between redshifts of $0.0114-0.145$ and lie between
$39-749$ $h^{-1}$ kpc from QSO sightlines. Knowing the redshifts of these
galaxies has already proved important in understanding results from HST
programmes designed to search for UV absorption lines from low-redshift
galaxies, and will enable future observations to probe the halos of these
galaxies in detail.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 17:17:44 GMT""}]","2015-06-24"
"astro-ph/9608191","JJ Kavelaars","JJ Kavelaars, D.A. Hanes","A comparison of the globular cluster luminosity functions of the inner
  and outer halo of the Milky Way and M31","3 pages, 2 figures, submitted to MNRAS",,"10.1093/mnras/285.4.L31",,"astro-ph",,"  We show that the globular cluster luminosity function (GCLF) of the inner
halo of the Milky Way is statistically different from the GCLF of the outer
halo. We also find a similar difference between the inner and outer halo
population of M31. We assert that this difference is evidence for some form of
dynamical evolution of the cluster population and/or a dependence of GCLF shape
on the environment in which the cluster population formed. We also find that
the turnover luminosity of the GCLF is unaffected by these differences and
further assert that this stability of the turnover luminosity affirms its
usefulness as an indicator of cosmic distance.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 19:15:54 GMT""}]","2016-01-13"
"astro-ph/9608192","Saul Perlmutter","S. Perlmutter, S. Gabi, G. Goldhaber, D. E. Groom, I. M. Hook, A. G.
  Kim, M. Y. Kim, J. C. Lee, C. R. Pennypacker, I. A. Small, A. Goobar, R.
  Pain, R. S. Ellis, R. G. McMahon, B. J. Boyle, P. S. Bunclark, D. Carter, M.
  J. Irwin, K. Glazebrook, H. J. M. Newberg, A. V. Filippenko, T. Matheson, M.
  Dopita, and W. J. Couch (The Supernova Cosmology Project)","Measurements of the Cosmological Parameters Omega and Lambda from the
  First 7 Supernovae at z >= 0.35","Very minor revisions. Paper is 36 pages long, with 6 postscript
  figures. Also available on http://www-supernova.lbl.gov . Paper has been
  accepted by ApJ","Astrophys.J.483:565,1997","10.1086/304265","lbnl-39291","astro-ph",,"  We have developed a technique to systematically discover and study
high-redshift supernovae that can be used to measure the cosmological
parameters. We report here results based on the initial seven of >28 supernovae
discovered to date in the high-redshift supernova search of the Supernova
Cosmology Project. We find a dispersion in peak magnitudes of sigma_{M_B} =
0.27 this dispersion narrows to sigma_{M_B,corr} = 0.19 after ""correcting"" the
magnitudes using the light-curve ""width-luminosity"" relation found for nearby
(z <= 0.1) type Ia supernovae from the Calan/Tololo survey (Hamuy et al. 1996).
Comparing lightcurve-width-corrected magnitudes as a function of redshift of
our distant (z = 0.35-0.46) supernovae to those of nearby type Ia supernovae
yields a global measurement of the mass density, Omega_M = 0.88^{+0.69}_{-0.60}
for a Lambda = 0 cosmology. For a spatially flat universe (i.e., Omega_M
+Omega_Lambda = 1), we find Omega_M = 0.94 ^{+0.34}_{-0.28} or, equivalently, a
measurement of the cosmological constant, Omega_Lambda = 0.06 ^{+0.28}_{-0.34}
(<0.51 at the 95% confidence level). For the more general Friedmann-Lemaitre
cosmologies with independent Omega_M and Omega_Lambda, the results are
presented as a confidence region on the Omega_M-Omega_Lambda plane. This region
does not correspond to a unique value of the deceleration parameter q_0. We
present analyses and checks for statistical and systematic errors, and also
show that our results do not depend on the specifics of the width-luminosity
correction. The results for Omega_Lambda-versus-Omega_M are inconsistent with
Lambda-dominated, low density, flat cosmologies that have been proposed to
reconcile the ages of globular cluster stars with higher Hubble constant
values.
","[{""version"":""v1"",""created"":""Wed, 28 Aug 1996 22:57:45 GMT""},{""version"":""v2"",""created"":""Sat, 25 Jan 1997 02:01:49 GMT""}]","2008-11-26"
"astro-ph/9608193","Michael Maisack","M. Maisack, K. Mannheim and W. Collmar","Constraints on the 3-30 MeV emission of Seyfert galaxies","accepted for publication in A&A",,,,"astro-ph",,"  Seyfert galaxies have not been detected by COMPTEL on the Compton Gamma Ray
Observatory (CGRO) in the energy range 0.75-3 MeV, placing upper limits on
their emission which are more than an order of magnitude below previously
reported detections. Here, we extend our previous work to the energy range 3-30
MeV. Again, we find no evidence for emission from a cumulative sample of X-ray
bright Seyfert galaxies. We use the recent results on the extragalactic
background at MeV energies to constrain the possible emission of these sources
and their contribution to the cosmic extragalactic background (CXB). The lack
of $\gamma$-rays from Seyfert galaxies strongly argues against hadronic
cascades as the underlying radiation mechanism and, consequently, against
recent claims that Seyferts might produce a high-energy neutrino background
with an energy flux similar to that of the CXB.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 08:12:24 GMT""}]","2016-08-30"
"astro-ph/9608194","Tal","Tal Alexander and Hagai Netzer (Tel Aviv University)","Bloated Stars as AGN Broad Line Clouds: The Emission Line Profiles","13 pages with 10 figures, LaTeX using mn.sty and epsf.sty, to appear
  in MNRAS",,"10.1093/mnras/284.4.967","WO-SIA-96/74","astro-ph",,"  The Bloated Stars Scenario proposes that AGN broad line emission originates
in the winds or envelopes of bloated stars (BS). Alexander and Netzer (1994)
established that ~ 5e4 BSs with dense, decelerating winds can reproduce the
observed emission line spectrum and avoid rapid collisional destruction. Here,
we use the observed properties of AGN line profiles to further constrain the
model parameters. In the BS model, the origin of the broad profiles is the
stellar velocity field in the vicinity of the central black hole. We use a
detailed photoionization code and a model of the stellar distribution function
to calculate the BS emission line profiles and compare them to a large sample
of AGN CIV, CIII] and MgII profiles. We find that the BSs can reproduce the
general shape and width of typical AGN profiles as well as the line ratios if
(i) The ionizing luminosity to black hole mass ratio is low enough. (ii) The
broad line region size is limited by some cutoff mechanism. (iii) The fraction
of the BSs in the stellar population falls off roughly as r^-2. (iv) The wind
density and/or velocity are correlated with the black hole mass and ionizing
luminosity. Under these conditions the strong tidal forces near the black hole
play an important role in determining the line emission properties of the BSs.
Some discrepancies remain: the calculated BS profiles tend to have weaker wings
than the observed ones, and the differences between the profiles of different
lines are somewhat smaller than those observed.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:25:03 GMT""}]","2015-06-24"
"astro-ph/9608195","Shai Kaspi","Shai Kaspi, Paul S. Smith, Dan Maoz, Hagai Netzer, and Buell. T.
  Jannuzi","Measurement of the Broad Line Region Size in Two Bright Quasars","5 pages, LaTeX (including aas2pp4 and epsf), including 4 EPS figures.
  Accepted for publication in Astrophysical Journal Letters","Astrophys.J. 471 (1996) L75","10.1086/310339",,"astro-ph",,"  We present 4 years of spectrophotometric monitoring data for two radio-quiet
quasars, PG 0804+762 and PG 0953+414, with typical sampling intervals of
several months. Both sources show continuum and emission line variations. The
variations of the H$\beta$ line follow those of the continuum with a time lag,
as derived from a cross-correlation analysis, of 93$\pm$30 days for PG 0804+762
and 111$\pm$55 days for PG 0953+414. This is the first reliable measurement of
such a lag in active galactic nuclei with luminosity $L>10^{45}$ erg s$^{-1}$.
The broad line region (BLR) size that is implied is almost an order of
magnitude larger than that measured in several Seyfert 1 galaxies and is
consistent with the hypothesis that the BLR size grows as $L^{0.5}$.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 13:13:25 GMT""}]","2009-10-28"
"astro-ph/9608196","Judith Moss","Martin J. Rees","The Universe at $Z > 5$: when and how did the `Dark Age' End?","6 pages LaTeX, no figures, special style file included",,,,"astro-ph",,"  This paper considers how the first subgalactic structures produced the UV
radiation that ionized the intergalactic medium before $z = 5$, and the
`feedback' effects of the UV radiation on structure formation. The relevance of
pregalactic activity to heavy element production and the origin of magnetic
fields is briefly addressed.
","[{""version"":""v1"",""created"":""Thu, 29 Aug 1996 15:15:51 GMT""}]","2007-05-23"
