"alg-geom/9601027","Elaine Jackson","Jonathan Wahl","On Cohomology of the Square of an Ideal Sheaf","AMSTeX v 2.1, minor corrections added, 3/21/96",,,,"alg-geom math.AG",,"  For a smooth subvariety $X\subset\Bbb P^N$, consider (analogously to
projective normality) the vanishing condition $H^1(\Bbb P^N,\Cal I^2_X(k))=0$,
$k\ge3$. This condition is shown to be satisfied for all sufficiently large
embeddings of a given $X$, and for a Veronese embedding of $\Bbb P^n$. For
$C\subset\Bbb P^{g-1}$, the canonical embedding of a non-hyperelliptic curve,
this condition guarantees the vanishing of some obstruction groups to
deformations of the cone. Recall that the tangents to deformations are dual to
the cokernel of the Gaussian-Wahl map.
  \proclaim{Theorem} Suppose the Gaussian-Wahl map of $C$ is not surjective and
the vanishing condition is fulfilled. Then $C$ is {\bf extendable}: it is a
hyperplane section of a surface in $\Bbb P^g$ not the cone over
$C$.\endproclaim
  Such a surface is a K3 if smooth, but it could have serious singularities.
  \proclaim{Theorem} For a general curve of genus $\ge3$, this vanishing holds.
\endproclaim
  \proclaim{Conjecture} If the Clifford index is $\ge3$, this vanishing holds.
\endproclaim
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 16:26:13 GMT""},{""version"":""v2"",""created"":""Thu, 21 Mar 1996 17:31:00 GMT""}]","2015-06-30"
"astro-ph/9601160","Sokalski","The BAIKAL Collaboration","Search for Magnetic Monopoles with Deep Underwater Cherenkov Detectors
  at Lake Baikal","5 pages, 3 Postscript figures, uses here.sty, submitted to the Proc.
  of the 2nd Workshop on ""The dark side of the Universe: experimental efforts
  and theoretical framework"", Rome, Italy, November 13-14 1995.",,,,"astro-ph",,"  The deep underwater Cherenkov neutrino telescope NT-200 is currently under
construction at Lake Baikal. The ""subdetectors"" NT-36 (1993-95) and NT-72
(1995-96) have been operating successfully over 3 years. Various techniques
have been developed to search for magnetic monopoles with these arrays. Here we
describe a method used to detect superheavy slowly moving (beta = v/c = 0.00001
- 0.001) monopoles catalyzing baryon decay. We present results obtained from
the preliminary analysis of the data taken with NT-36 detector in 1993.
Furthermore, possibilities to observe faster (beta = 0.2 - 1) monopoles via
other effects are discussed.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 06:58:21 GMT""}]","2012-08-27"
"astro-ph/9601164","Bernhard Geiger","Bernhard Geiger and Peter Schneider (Max-Planck-Institut fuer
  Astrophysik)","The lightcurve reconstruction method for measuring the time delay of
  gravitational lens systems","26 pages, LaTex, including 23 figures; submitted to Monthly Notices
  of the Royal Astronomical Society; a version with a higher quality for some
  of the figures is available at
  http://www.mpa-garching.mpg.de/Lenses/Preprints/LightCrv.ps.gz",,"10.1093/mnras/282.2.530","MPA 926","astro-ph",,"  We propose a new technique to measure the time delay of radio-loud
gravitational lens systems, which does not rely on the excessive use of
interferometric observations. Instead, the method is based on single-dish flux
density monitoring of the (unresolved) lens system's total lightcurve, combined
with additional interferometric measurements of the flux density ratio at a few
epochs during that monitoring period. The basic idea of the method is to
reconstruct the individual image lightcurves from the observed total lightcurve
by assuming a range of potential values for the time delay and the
magnification ratio of the images. It is then possible to single out the
correct reconstruction, and therefore determine the time delay, by checking the
consistency of the reconstructed individual lightcurves with the additional
interferometric observations. We performed extensive numerical simulations of
synthetic lightcurves to investigate the dependence of the performance of this
method on various parameters which are involved in the problem. Probably the
most promising candidates for applying the method (and also for determining the
Hubble constant) are lens systems consisting of multiply imaged compact sources
and an Einstein ring, such as B0218+357 from which some of the parameters used
for our simulations were adopted.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 20:21:00 GMT""}]","2015-06-24"
"astro-ph/9601165","Ivo Saviane","Ivo Saviane (1), Enrico V. Held (2), Giampaolo Piotto (1) ( (1)
  Universit\`a di Padova, Dipartimento di Astronomia, Italy, (2) Osservatorio
  Astronomico di Bologna, Italy)","CCD photometry of the Tucana dwarf galaxy","13 pages LaTeX file, 11 Postscript figures; accepted for publication
  on Astronomy \& Astrophysics main journal; minor changes with respect to
  original version (some Figures/Tables have been dropped)",,,,"astro-ph",,"  We present $V$ and $I$ CCD photometry for $\sim360$ stars in the recently
discovered dwarf galaxy Tucana. The large field investigated and the accurate
photometric calibration make our data complementary to the deeper HST
photometry. From the $I$ magnitude of the tip of the red giant branch we
estimate a distance modulus $(m-M)_0=24.69\pm0.16$, corresponding to $870\pm60$
Kpc, confirming that Tucana is an isolated dwarf spheroidal located almost at
the border of the Local Group. From the color of the red giant branch tip and
by direct comparison with the giant branches of galactic globular clusters we
estimate a metallicity [Fe/H]=$-1.8\pm0.2$, with no clear indication for a
metallicity spread. The color--magnitude diagram indicates that Tucana has had
a single star formation burst at the epoch of the Galactic globular cluster
star formation. There is no evidence for an intermediate or young stellar
population. We derive the V luminosity profile, the surface density profile of
resolved stars, and the structural parameters of Tucana, from which we confirm
that Tucana participates to the general metallicity--surface
brightness--absolute magnitude relations defined by the Galaxy and M31 dwarf
spheroidal and dwarf elliptical companions.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 17:01:53 GMT""},{""version"":""v2"",""created"":""Tue, 30 Apr 1996 08:51:17 GMT""}]","2008-02-03"
"astro-ph/9601166","Steve Zepf","Stephen E. Zepf and Joseph Silk (UC Berkeley)","On the Effects of Bursts of Massive Star Formation During the Evolution
  of Elliptical Galaxies","16 pages AAS LaTeX and 5 postscript figures, also at
  http://astron.berkeley.edu/preprints.html . To appear in The Astrophysical
  Journal. Replaced version corrects mistakes made in this header. The text is
  the same",,"10.1086/177496",,"astro-ph",,"  We consider the hypothesis that the formation of elliptical galaxies includes
a phase in which star formation is mostly restricted to massive stars, with the
bias towards high mass stars increasing with elliptical galaxy mass. The mass
fraction of stars in this top-heavy mode of star formation is constrained by
requiring the resulting stellar remnants to account for the observed increase
in the mass-to-light ratio of ellipticals with increasing galaxy mass. We then
consider the implications of this population of massive stars for the
intracluster medium and the extragalactic background at various wavelengths.
The mass and abundance ratios of metals produced by our proposed population of
massive stars are consistent with the observations of the mass and abundance
ratios of metals in the hot gas of galaxy clusters for most of the standard
range of IMF slopes and SN II yields. The predicted energy density produced by
this stellar population approaches current limits on the extragalactic
background at both optical wavelengths, into which the ultraviolet radiation of
the massive stars is likely to be redshifted, and far-infared wavelengths, at
which starlight reprocessed by dust associated with the starburst will be
observed. In either case, the background is predicted to be significantly
clustered since massive ellipticals are clustered.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 19:37:36 GMT""},{""version"":""v2"",""created"":""Tue, 30 Jan 1996 16:50:01 GMT""}]","2009-10-28"
"astro-ph/9601167","Peter Freeman","P. E. Freeman (1), D. Q. Lamb (1), R. B. Wilson (2), M. S. Briggs (3),
  W. S. Paciesas (3), R. D. Preece (3), D. L. Band (4), J. L. Matteson (4) ((1)
  University of Chicago, (2) Marshall Space Flight Center, (3) University of
  Alabama, Huntsville, (4) University of California, San Diego)","BATSE SD Observations of Hercules X-1","5 pages, LaTeX (style files aipbook.sty, aps.sty, aps10.sty,
  prabib.sty, psfig.sty, and revtex.sty included with PAPER.tex), 2 embedded
  PostScript figures (mongo1.ps, mongo2.ps)",,"10.1063/1.51738",,"astro-ph",,"  The cyclotron line in the spectrum of the accretion-powered pulsar Her X-1
offers an opportunity to assess the ability of the BATSE Spectroscopy Detectors
(SDs) to detect lines like those seen in some GRBs. Preliminary analysis of an
initial SD pulsar mode observation of Her X-1 indicated a cyclotron line at an
energy of approximately 44 keV, rather than at the expected energy of
approximately 36 keV. Our analysis of four SD pulsar mode observations of Her
X-1 made during high-states of its 35 day cycle confirms this result. We
consider a number of phenomenological models for the continuum spectrum and the
cyclotron line. This ensures that we use the simplest models that adequately
describe the data, and that our results are robust. We find modest evidence
(significance Q ~ 10^-4-10^-2) for a line at approximately 44 keV in the data
of the first observation. Joint fits to the four observations provide stronger
evidence (Q ~ 10^-7-10^-4) for the line. Such a shift in the cyclotron line
energy of an accretion-powered pulsar is unprecedented.
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 20:40:13 GMT""}]","2009-10-28"
"astro-ph/9601168","Geza Gyuk","Michael S. Turner, Evalyn I. Gates and Geza Gyuk","MACHOs: The Plot Thickens","6 pages, two figures, postscript",,,"FERMILAB--Pub--96/022-A","astro-ph hep-ph",,"  We discuss the implications of the recent upward revision of the LMC
microlensing rate by the MACHO Collaboration. We conclude: (i) A good case for
the existence of baryonic dark matter in the halo has been made; (ii) The case
for the existence of cold dark matter is unaffected and still compelling; and
(iii) The Galactic halo is still an excellent place to search for cold dark
matter particles (e.g., axions or neutralinos).
","[{""version"":""v1"",""created"":""Mon, 29 Jan 1996 23:09:39 GMT""}]","2007-05-23"
"astro-ph/9601169","Paul Goudfrooij","Paul Goudfrooij (European Southern Observatory)","The Distribution of Dust and Gas in Elliptical Galaxies","Invited talk given at conference on ""NEW EXTRAGALACTIC PERSPECTIVES
  IN THE NEW SOUTH AFRICA: Changing Perceptions of the Morphology, Dust Content
  and Dust-Gas Ratios in Galaxies"", Held in Johannesburg, South Africa, during
  January 22-26, 1996. Proceedings will be edited by D.L. Block and published
  by Kluwer, Dordrecht, The Netherlands. uuencoded, gzipped LaTeX file of 8
  pages; figures included as PostScript files (enclosed). Uses crckapb.sty
  (enclosed) and psfig.sty",,"10.1007/978-94-009-0335-7_48",,"astro-ph",,"  Results from IRAS and recent optical CCD surveys are examined to discuss the
distribution and origin of dust and ionized gas in elliptical galaxies. In
strong contrast with the situation among spiral galaxies, masses of dust in
elliptical galaxies as derived from optical extinction are an order of
magnitude LOWER than those derived from IRAS data. I find that this dilemma can
be resolved by assuming the presence of a diffusely distributed component of
dust which is not detectable in optical data.
  The morphology of dust lanes and their association with ionized gas in
elliptical galaxies argues for an external origin of BOTH components of the
ISM.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 02:11:17 GMT""}]","2016-01-27"
"astro-ph/9601170","Martin White","Martin White and Douglas Scott","The Impact of the CMB on Large-Scale Structure","17 pages, 4 figures, to appear in Comments on Astrophysics","Comments Astrophys.18:289,1996",,"EFI-TH-96","astro-ph",,"  The COBE detection of microwave anisotropies provides the best way of fixing
the amplitude of cosmological fluctuations on the largest scales. We discuss
the impact of this new, precise normalization and give fitting formulae for the
horizon-crossing amplitude as a function of \Omega_0 and n for both open and
flat cosmologies. We also discuss the relevant normalization (\sigma_8) at
galaxy-clustering scales. Already it is clear that the inferred \sigma_8 can be
unnaccepatably high for some of the simplest inflationary models, although many
minor variants give an adequate fit. Generic topological defect models appear
to fare rather badly, and it is unclear whether minor variants or improved
calculations will help much. The detection and mapping of structure in the CMB
anisotropy spectrum on smaller scales in the near future will enable us to
achieve much stronger constraints on models.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 02:15:07 GMT""}]","2009-08-18"
"astro-ph/9601171","Robert Nemiroff","J. P. Norris (NASA/GSFC)","Canonical Timescales In GRBs--199","10 pages in LATeX, REVTEX style files needed. 4 embedded figures. To
  appear in Third Huntsville GRB Workshop Proceedings",,"10.1063/1.51731","JPN-HUNT95-01","astro-ph",,"  Understanding the bimodal duration distribution (dynamic range $>$ 10$^{4}$)
of $\gamma$-ray bursts is central to determining if the phenomenon is in fact a
singular one. A unifying concept, beyond isotropy and inhomogeneity of the two
groups separately, is that bursts consist of pulses, organized in time and
energy: wider pulses are more asymmetric, their centroids are shifted to later
times at lower energies, and shorter, more symmetric pulses tend to be
spectrally harder. Long bursts tend to have many pulses while short bursts
usually have few, relatively narrow pulses. Two factors, viewing angle and
beaming, may account for pulse asymmetry and the large dynamic range ($\sim$
200) in pulse widths. A cosmological time-dilation signature, with an expected
dynamic range of order two, would be difficult to measure against these large
intrinsic variations and low signal-to-noise levels of dimmer bursts. Some
statistics ($T_{\rm 90}$, pulse intervals) are particularly sensitive to
brightness bias, noise, and apparently minor variations in definition. Also,
spectral redshift would move narrower, high-energy emission from dim bursts
into the band of observation, constituting a countering effect to time
dilation. With analyses restricted to bursts longer than $\sim$ 2 s, tests for
time dilation that are constructed to be free of brightness bias have yielded
time-dilation factors $\sim$ 2--3, for pulse structures, intervals between
structures, and durations.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 03:19:40 GMT""}]","2009-10-28"
"astro-ph/9601172",,"Sabino Matarrese (Phys. Dept., Padova, Italy)","Relativistic Cosmology: from super--horizon to small scales","27 pages, latex using ioplppt.sty (enclosed), no figures. To appear
  in Proc. International School of Physics Enrico Fermi, Course CXXXII: ``Dark
  Matter in the Universe"", Varenna 1995, eds.: S. Bonometto, J. Primack, A.
  Provenzale",,,,"astro-ph gr-qc",,"  The general relativistic non--linear dynamics of a self--gravitating
collisionless fluid with vanishing vorticity is studied in synchronous and
comoving -- i.e. {\em Lagrangian} -- coordinates. Writing the equations in
terms of the metric tensor of the spatial sections orthogonal to the fluid flow
allows an unambiguous expansion in inverse powers of the speed of light. The
Newtonian and post--Newtonian approximations are derived in Lagrangian form;
the non--linear evolution of the system on super--horizon scales, leading to
the so--called ``silent universe"", is also briefly discussed. A general formula
for the gravitational waves generated by the non--linear evolution of
cosmological perturbations is given: a stochastic gravitational--wave
background is shown to be produced by non--linear cosmic structures, with
present--day closure density $\Omega_{gw} \sim 10^{-5}$ -- $10^{-6}$ on the
scale of 1 -- 10 Mpc.
","[{""version"":""v1"",""created"":""Tue, 30 Jan 1996 11:52:55 GMT""}]","2007-05-23"
