"alg-geom/9602001","Spencer J. Bloch","Spencer Bloch, H\'el\`ene Esnault","Algebraic Chern Simons Theory","LaTeX",,,,"alg-geom math.AG",,"  An analog of Chern-Simons theory is developed in an algebro-geometric
setting.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 15:59:03 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 18:29:37 GMT""}]","2008-02-03"
"astro-ph/9602004","Enrique Vazquez Semadeni","E. Vazquez-Semadeni (IAUNAM), T. Passot and A. Pouquet (Obs. Nice)","MHD Turbulence, Cloud Formation and Star Formation in the ISM","Gzipped, tarred Latex file (7 pages), and style file. Uses AAS
  macros. Gzipped Postscript file with 9 figures available at
  ftp://kepler.astroscu.unam.mx/incoming/enro/papers/mhdcfsf.ps.gz","Proc. ""The Fifth Mexico-Texas Conference on Astrophysics: Gaseous
  Nebulae and Star Formation"", Rev. Mex. Astr. Ap. Ser. Conf. 3, 61 (1995)",,,"astro-ph",,"  We discuss the role of turbulence in cloud and star formation, as observed in
numerical simulations of the interstellar medium. Turbulent compression at the
interfaces of colliding gas streams is responsible for the formation of
intermediate ($\simlt 100$ pc) and small clouds (a few tens of pc), although
the smallest clouds can also form from fragmentation of expanding shells around
stellar heating centers. The largest cloud complexes (several hundred pc) seem
to form by slow, gravitational instability-driven merging of individual clouds,
which can actually be described as a large-scale tendency towards
homogenization of the flow due to gravity rather than cloud collisions. These
mechanisms operate as well in the presence of a magnetic field and rotation,
although slight variations on the compressibility and cloud morphology are
present which depend on the strength and topology of the field. In summary, the
role of turbulence in the life-cycle of clouds appears to be twofold:
small-scale modes contribute to cloud support, while large-scale modes can both
form or disrupt clouds.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 17:21:20 GMT""}]","2007-05-23"
"astro-ph/9602005","Peter Hoeflich","P. Hoeflich (Harvard-Smithsonian Center for Astrophysics)","Analysis of the Type Ia Supernova SN1994D","5 pages, 4 figures, macros 'crckapb.sty'","To appear in """"Thermonuclear Supernovae"" eds. R.Canal, P.
  Ruiz-Lapuente, J. Isern, (Dordrecht, Kluwer Academic Press)",,"CfA-Preprint 4188","astro-ph",,"  We present an analysis of the observed light curves and spectra of the Type
Ia supernova SN1994D in the galaxy NGC 4526. The sensitivity of theoretical
light curves and spectra to the underlying hydrodynamical model is discussed.
  The calculations are consistent with respect to the explosion mechanism, the
optical and infrared light curves, and the spectral evolution, leaving the
description of the nuclear burning front and the structure of the white dwarf
as the only free parameters.
  The explosions are calculated using a one-dimensional Lagrangian code
including a nuclear network. Subsequently, the light curves are constructed.
Detailed NLTE-spectra are computed for several instants of time using the
density, chemical, and luminosity structure resulting from the light curve
code.
  Different scenarios have been compared to the observations including
detonations, deflagrations, delayed detonations, tamped detonations and Helium
detonations. Only one of our delayed detonations models shows good agreement
with the observations of SN1994D both for the B, V, R and I colors and the
spectral evolution. The classical deflagration model W7 does not reproduce the
high Si velocities as observed early on. The deflagration velocity is close to
the laminar deflagration $(v =0.03 c_s)$, and the transition from the
deflagration to the detonation occurs at $\rho_{tr} = 2.~10^7 g/cm^{3}$. The
initial central density of the white dwarf (WD) is $2.7~10^9 g/cm^{3}$.
  The distance to SN1994D is determined to $16.2 \pm 2 Mpc$. The explosion took
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 20:28:07 GMT""}]","2007-05-23"
"astro-ph/9602006",,"Fred C. Adams and Greg Laughlin (U. Michigan)","Implications of White Dwarf Galactic Halos","20 pages, 7 figures available on request","Astrophys.J. 468 (1996) 586","10.1086/177717","UM AC 96-01","astro-ph",,"  Motivated by recent measurements which suggest that roughly half the mass of
the galactic halo may be in the form of white dwarfs, we study the implications
of such a halo. We first use current limits on the infrared background light
and the galactic metallicity to constrain the allowed initial mass function
(IMF) of the stellar population that produced the white dwarfs. The IMF must be
sharply peaked about a characteristic mass scale $M_C \approx 2.3 M_\odot$.
Since only a fraction of the initial mass of a star is incorporated into the
remnant white dwarf, we argue that the mass fraction of white dwarfs in the
halo is likely to be 25\% or less, and that 50\% is an extreme upper limit. We
use the IMF results to place corresponding constraints on the primordial
initial conditions for star formation. The initial conditions must be much more
homogeneous and skewed toward higher temperatures ($T_{\rm gas} \sim$ 200 K)
than the conditions which lead to the present day IMF. Next we determine the
luminosity function of white dwarfs. By comparing this result with the observed
luminosity function, we find that the age of the halo population must be
greater than $\sim 16$ Gyr. Finally, we calculate the radiative signature of a
white dwarf halo. This infrared background is very faint, but is potentially
detectable with future observations.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 20:52:23 GMT""}]","2009-10-28"
"astro-ph/9602007","Robert Nemiroff","R.J. Nemiroff (NASA/GMU), J.P. Norris (NASA/GSFC), J.T. Bonnell
  (NASA/USRA), and J.D. Scargle (NASA/AMES)","Time-Dilation, Log N - Log P, and Cosmology","5 pages in LATeX, REVTEX style, 2 embedded figures. To appear in
  Third Huntsville Symposium on Gamma Ray Bursts Proceedings",,"10.1063/1.51713","RJN-HUNT95-01","astro-ph",,"  We investigate whether a simple cosmology can fit GRB results in both time
dilation and Log N - Log P simultaneously. Simplifying assumptions include: all
GRBs are spectrally identical to BATSE trigger 143, $\Omega=1$ universe, and no
luminosity and number density evolution. Observational data used includes: the
BATSE 3B peak brightness distribution (64-ms time scale), the Pioneer Venus
Orbiter (PVO) brightness distribution, and the Norris et al. time dilation
results for peak aligned profiles presented at this meeting. We find acceptable
cosmological fits to the brightness distributions when placing BATSE trigger
143 at a redshift of 0.15 $\pm$ 0.10. This translates into a $(1 + z_{dim}) /
(1 + z_{bright})$ factor of about 1.50 $\pm$ 0.50 between selected brightness
extremes of the Norris et al. sample. Norris et al. estimate, however, that $(1
+ z_{dim}) / (1 + z_{bright})$ $\approx$ 2.0 $\pm$ 0.5 when considering
duration tests. The difference is marginal and could be accounted for by
evolution. We therefore find that evolution of GRBs is preferred but not
demanded.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 22:28:46 GMT""}]","2009-10-28"
"astro-ph/9602008",,"A.A. Zdziarski, P. Magdziarz","The origin of the correlation between the UV and X-rays in NGC 4151","5 pages, MNRAS accepted","Mon.Not.Roy.Astron.Soc. 279 (1996) L21","10.1093/mnras/279.2.L21",,"astro-ph",,"  We propose that the UV/X-ray correlation observed in NGC 4151 by EXOSAT and
IUE is due to reemission of the X-ray flux absorbed by cold clouds in the line
of sight. This transmission model satisfies the energy balance, provides a good
fit to the X-ray and UV data, and predicts no Compton reflection of X-rays (as
observed). The correlation can alternatively be explained by reprocessing of
X-rays and gamma-rays by a cold accretion disk. A specific model in which
X-rays and gamma-rays are emitted by a dissipative patchy corona and have the
spectrum cut off at about 100 keV (as seen by OSSE) is shown to be
energetically possible even if it does not give as satisfactory a fit as the
transmission model. However, the model predicts a Compton- reflection spectral
component, whose presence remains to be tested by future detectors sensitive
above 10 keV.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 00:53:47 GMT""}]","2016-06-08"
"astro-ph/9602009","Douglas Scott","Michael A. Janssen, Douglas Scott, Martin White, Michael D. Seiffert,
  Charles R. Lawrence, Krzysztof M. Gorski, Mark Dragovan, Todd Gaier, Ken
  Ganga, Samuel Gulkis, Andrew E. Lange, Steven M. Levin, Philip M. Lubin,
  Peter Meinhold, Anthony C. S. Readhead, Paul L. Richards, & John E. Ruhl","Direct Imaging of the CMB from Space","15 pages, including 8 figures. Full resolution and colour versions of
  simulations and full versions of the preprint available at
  ftp://omega.jpl.nasa.gov/pub/wwwdir/PSI/papers.htm . Further details of PSI
  and FIRE are available at http://astrophysics.jpl.nasa.gov/PSI/ and
  http://caseymac.jpl.nasa.gov/fire/fire.html, respectively",,,"PSI-96-01, FIRE-96-01","astro-ph",,"  Fundamental information about the Universe is encoded in anisotropies of the
Cosmic Microwave Background (CMB) radiation. To make full use of this
information, an experiment must image the entire sky with the angular
resolution, sensitivity, and spectral coverage necessary to reach the limits
set by cosmic variance on angular scales >~10'. Recent progress in detector
technology allows this to be achieved by a properly designed space mission that
fits well within the scope of NASA's Medium-class Explorer program. An
essential component of the mission design is an observing strategy that
minimizes systematic effects due to instrumental offset drifts. The detector
advances make possible a `spin chopping' approach that has significant
technical and scientific advantages over the strategy used by COBE, which
reconstructed an image of the sky via inversion of a large matrix of
differential measurements. The advantages include increased angular resolution,
increased sensitivity, and simplicity of instrumentation and spacecraft
operations. For the parameters typical of experiments like the Primordial
Structures Investigation (PSI) and the Far InfraRed Explorer (FIRE), we show
that the spin-chopping strategy produces images of the sky and power spectra of
CMB anisotropies that contain no significant systematic artifacts.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 06:36:47 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 1996 20:10:05 GMT""}]","2008-02-03"
"astro-ph/9602010","Bianca Garilli","Bianca Garilli, Dario Bottini and Dario Maccagni (IFCTR-CNR, Milano,
  Italy) Luis Carrasco and Elsa Recillas (INAOE, Puebla, Mexico)","Photometric properties of clusters of galaxies","uuencoded, gzipped tar file including Latex text (aas style) and
  tables and 3 postcript figures. Figure 3 available at
  http://www.ifctr.mi.cnr.it/cgi-bin/download?/aphrodite/bianca/babbage/
  gar_f3.tar.gz",,,,"astro-ph",,"  We report the first results of a long term program aimed at investigating the
photometric properties of the cores of Abell and X-ray selected (EMSS,
\cite{emss}) clusters of galaxies. We observed 77 clusters of galaxies in the
redshift range $0.05\leq z \leq 0.25$ in the Gunn $g$, $r$ and $i$ filters: in
this paper we present the data on 59 clusters with good absolute photometry and
on another group of 8 clusters with acceptable relative photometry. For all
these clusters we show color--magnitude diagrams in the two colors: when, as in
most cases, the early type galaxy sequence is identifiable, we compare it with
the expectation from the Virgo c--m relation (\cite{vs}) and find that the
Virgo relation holds to $z\sim0.2$. We do not find any sign of active evolution
in cluster galaxies since that epoch, nor in the percentage of blue galaxies or
in the early type galaxy colors, if we accept that the scatter is of the order
of 0.2--0.3 mag with respect to the expectations on the basis of standard
k--corrections. We point out the presence of a certain number of anomalously
red galaxies in the $r-i$ color, which are too red with respect to their $g-r$
color to be normal field galaxies at a redshift higher than the cluster one.
Finally we briefly compare a few properties of the two subsamples of optically
selected and X--ray selected clusters.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 11:35:28 GMT""}]","2007-05-23"
"astro-ph/9602011","Paola Andreani","P.Andreani (Univ.Padova,ESO), L.Pizzo (TESRE,Bologna), G.Dall'Oglio
  (III Univ.Roma), N.Whyborn (SRON Groningen), H.Boehringer (MPE Garching),
  P.Shaver (ESO), R. Lemke, A.Otarola, L.-A.Nyman (ESO,LaSilla), R.Booth
  (ONSALA)","Looking for the S-Z Effect towards Distant ROSAT Clusters of Galaxies","17 pg Latex file (using aasms4.sty) gzip'd tar'd uuencoded file
  including 1 ps figure, ApJ Letter in press",,"10.1086/309945","PD-960130","astro-ph",,"  We report on observations of the Sunyaev-Zeldovich effect towards X-ray ROSAT
clusters taken with a double channel (1.2 and 2 mm) photometer installed at the
focus of the 15m SEST antenna in Chile. This paper describes the first results
obtained for the high-z clusters S1077, A2744 and S295. Marginal detections
were found for A2744 and at 1 mm for S1077. We discuss these data in terms of
contamination of sources along the line of sight and give a constraint on the
amplitude of the kinematic effect.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 11:26:35 GMT""}]","2009-10-28"
"chao-dyn/9601019","Tony Roberts","A.J. Roberts, and A. Cronin","Unbiased estimation of multi-fractal dimensions of finite data sets","LaTeX, 17 pages, figures encapsulated as picture environments",,"10.1016/S0378-4371(96)00165-3",,"chao-dyn nlin.CD",,"  We present a novel method for determining multi-fractal properties from
experimental data. It is based on maximising the likelihood that the given
finite data set comes from a particular set of parameters in a multi-parameter
family of well known multi-fractals. By comparing characteristic correlations
obtained from the original data with those that occur in artificially generated
multi-fractals with the {\em same} number of data points, we expect that
predicted multi-fractal properties are unbiased by the finiteness of the
experimental data.
","[{""version"":""v1"",""created"":""Thu, 1 Feb 1996 22:02:47 GMT""}]","2009-10-28"
"chao-dyn/9602001","Yosef Ashkenazy","K. Saermark (The Technical University of Denmark), Y. Ashkenazy
  (Bar-Ilan University), J. Levitan and M. Lewkowicz (Bar-Ilan University and
  The Collage of Judea and Samaria)","The Necessity for a Time Local Dimension in Systems with Time Varying
  Attractors","13 Postscript pages, 12 Postscript figures (figures 3b and 4 by
  request from Y. Ashkenazy: ashkenaz@alon.cc.biu.ac.il)","Physica A 236 (1997) 363-375","10.1016/S0378-4371(96)00367-6",,"chao-dyn nlin.CD",,"  We show that a simple non-linear system of ordinary differential equations
may possess a time varying attractor dimension. This indicates that it is
infeasible to characterize EEG and MEG time series with a single time global
dimension. We suggest another measure for the description of non-stationary
attractors.
","[{""version"":""v1"",""created"":""Fri, 2 Feb 1996 08:54:06 GMT""}]","2015-06-24"
