"acc-phys/9604004","Gayane A. Amatuni","A. Amatuni","Approximate Analytical Description of the Underdense Short Plasma Lens","18 pages,latex","Conf.Proc.C970512:690-692,1997",,,"acc-phys physics.acc-ph",,"  The perturbative approach for describing the underdense
plasma--ultrarelativistic electron bunch system is developed, using the ratio
$\frac{n_0}{n_b}$ as a small parameter ($n_b$--bunch,$n_0$--plasma electron
densities). Focusing of the electron bunch emerged in the first approximation
of the perturbative procedure as a result of the plasma electrons
redistribution. Focusing gradient and strength for ultrarelativistic, flat,
uniform and short bunch are obtained and compared with the previous results.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 11:19:19 GMT""}]","2008-11-26"
"astro-ph/9604090","Ulrich Lindner","Ulrich Lindner, Uta Fritze - von Alvensleben, Klaus J. Fricke","Optically identified QSO absorption systems and galaxy evolution","15 Pages, A&A plain TeX with figures included, also available on
  request or at http://www.uni-sw.gwdg.de/~ulindner/preprints.html or anonymous
  ftp at ftp://eden.uni-sw.gwdg.de/incoming/ulindner/oiabs.ps.gz",,,,"astro-ph",,"  A comprehensive set of all available magnitudes, colors and redshifts for
optically identified QSO absorbers is compiled from the literature. This
results in a largely unbiased sample of galaxies at high redshifts, the size of
the sample being reasonably large to allow for a first comparison with galaxy
evolution models. We use our evolutionary spectral synthesis models describing
various spectral types of galaxies with appropriate star formation histories.
  For a standard cosmology H0=50, Omega0=1, we find that all identified QSO
absorbers up to a redshift about z=2 do fall within the evolving range of
models which had been shown earlier to give good agreement with nearby galaxies
of various spectral types.
  The most striking result is that all spectral types of galaxies from E
through Sd seem to be present in this absorber candidate sample with the bulk
of the objects being spirals of type Sa to Sc.
  We also show that such kind of high redshift galaxy sample should allow for
significant restrictions of the cosmological parameters. While models with
H0=50, Omega0=1 and any redshift of galaxy formation zform=5 ... 10 give
reasonable agreement with observed luminosities and colors, present data seem
to exclude the combination H0=50, Omega0=0.1. A low Omega0 together with a
value of H0 > 50 might still be viable. Additional data, and in particular
observations of absorbing galaxies in more than one passband, are required for
further constraints. We realize that the present results depend on the adopted
evolutionary models and on the input physics used which might be better
constrained by future observations.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:19:37 GMT""}]","2016-08-30"
"astro-ph/9604091","Yi-Chuan Pei","S. Michael Fall (STScI), Stephane Charlot (IAP), and Yichuan C. Pei
  (JHU)","Cosmic Emissivity and Background Intensity from Damped Lyman-Alpha
  Galaxies","Single PS file, To appear in the 10 June 1996 issue of ApJ Letters",,"10.1086/310081",,"astro-ph",,"  We present a new method to compute the cosmic emissivity $\E_\nu$ and
background intensity $J_\nu$. Our method is based entirely on data from quasar
absorption-line studies, namely, the comoving density of HI and the mean
metallicity and dust-to-gas ratio in damped Ly$\alpha$ galaxies. These
observations, when combined with models of cosmic chemical evolution, are
sufficient to determine the comoving rate of star formation as a function of
redshift. From this, we compute $\E_\nu $ and $J_\nu$ using stellar population
synthesis models. Our method includes a self-consistent treatment of the
absorption and reradiation of starlight by dust. In all of our calculations,
the near-UV emissivity declines rapidly between $z\approx1$ and $z=0$, in
agreement with estimates from the Canada-France Redshift Survey. The background
intensity is consistent with a wide variety of observational limits and with a
tentative detection at far-IR wavelengths.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 18:18:04 GMT""}]","2009-10-28"
"astro-ph/9604092","Karl Gebhardt","Karl Gebhardt, Douglas Richstone, Edward Ajhar, Tod Lauer, Yong-Ik
  Byun, John Kormendy, Alan Dressler, Sandra Faber, Carl Grillmair, Scott
  Tremaine","The Centers of Early-Type Galaxies with HST III: Non-Parametric Recovery
  of Stellar Luminosity Distributions","uuencoded compressed tarfile 21 pages with 6 fig, 1 table","Astron.J. 112 (1996) 105","10.1086/117992",,"astro-ph",,"  We have non-parametrically determined the luminosity density profiles and
their logarithmic slopes for 42 early-type galaxies observed with HST. Assuming
that the isodensity contours are spheroidal, then the luminosity density is
uniquely determined from the surface brightness data through the Abel equation.
For nearly all the galaxies in our sample, the logarithmic slope of the
luminosity density measured at 0.1"" (the innermost reliable measurement with
the uncorrected HST) is significantly different from zero; i.e. most elliptical
galaxies have cusps. There are only two galaxies for which an analytic core
cannot be excluded. The distribution of logarithmic slopes at 0.1"" appears to
be bimodal, confirming the conclusion of Lauer et al. (1995) that early-type
galaxies can be divided into two types based on their surface-brightness
profiles; i.e., those with cuspy cores and those whose steep power-law profiles
continue essentially unchanged in to the resolution limit. The peaks in the
slope distribution occur at -0.8 and -1.9. More than half of the galaxies have
slopes steeper than -1.0. Taken together with the recent theoretical work of
Merritt & Fridman, these results suggest that many (and maybe most) elliptical
galaxies are either nearly axisymmetric or spherical near the center, or slowly
evolve due to the influence of stochastic orbits.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 19:25:17 GMT""}]","2009-10-28"
"astro-ph/9604093","Gunter Sigl","Guenter Sigl, Sangjin Lee (Univ. of Chicago), and Paolo Coppi (Yale
  University)","Highest Energy Cosmic Rays, Grand Unified Theories, and the Diffuse
  Gamma-Ray Background","5 latex pages, 3 postscript figures included, uses revtex.sty and
  psfig.sty. Considerably revised version, uses improved QCD fragmentation
  functions and normalization procedure to the data and reaches somewhat more
  general conclusions. Differences to results in astro-ph/9605036 by
  Protheroe/Stanev are pointed out. Submitted to Phys. Rev. Lett",,,,"astro-ph hep-ph",,"  We explore scenarios where the highest energy cosmic rays (HECR) are produced
by new particle physics near the grand unification scale. Using detailed
numerical simulations of extragalactic cosmic and gamma-ray propagation, we
show the existence of a significant parameter space for which such scenarios
are consistent with all observational constraints. An average fraction of about
10% gamma-rays in the total cosmic ray flux around 10 EeV [10**(19) eV] would
imply both a non-acceleration origin of HECR and a large scale extragalactic
magnetic field smaller than about 10**(-11) G. Proposed observatories for
ultra-high energy cosmic rays should be able to test for this signature.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 21:43:33 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 1996 16:54:29 GMT""}]","2008-02-03"
"astro-ph/9604094","Pilar Ruiz-Lapuente","Pilar Ruiz-Lapuente (Max-Planck-Institut fur Astrophysik, Garching,
  FRG & Department of Astronomy, Univ. Barcelona, Spain)","The late emission of thermonuclear supernovae","24 pages, including 7 figures. uuencoded, gzipped ps file. Lecture
  given at the NATO ASI on Thermonuclear Supernovae (Aiguablava, Spain: June
  20-30 1995). To appear in ""Thermonuclear Supernovae"", ed. R. Canal & P.
  Ruiz-Lapuente (Dordrecht: Kluwer)",,,,"astro-ph",,"  The subject of late-time emission of Type Ia supernovae and its implications
for the understanding of the explosions of C+O WDs is reviewed.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 22:46:28 GMT""}]","2007-05-23"
"astro-ph/9604095","Brian Fields","Brian D. Fields, Grant J. Mathews, and David N. Schramm","Halo White Dwarfs and the Hot Intergalactic Medium","15 pages, LaTex, uses aas2pp4.sty, 7 postscript figures.
  Substantially revised and enlarged to a full-length article. Somewhat
  different quantitative results, but qualitative conclusions unchanged","Astrophys.J. 483 (1997) 625-637","10.1086/304291","UND-A/96-10","astro-ph",,"  We present a schematic model for the formation of baryonic galactic halos and
hot gas in the Local Group and the intergalactic medium. We follow the
dynamics, chemical evolution, heat flow and gas flows of a hierarchy of scales,
including: protogalactic clouds, galactic halos, and the Local Group itself.
Within this hierarchy, the Galaxy is built via mergers of protogalactic
fragments. We find that early bursts of star formation lead to a large
population of remnants (mostly white dwarfs), which would reside presently in
the halo and contribute to the dark component observed in the microlensing
experiments. The hot, metal-rich gas from early starbursts and merging
evaporates from the clouds and is eventually incorporated into the
intergalactic medium. The model thus suggests that most microlensing objects
could be white dwarfs ($m \sim 0.5 \msol$), which comprise a significant
fraction of the halo mass. Furthermore, the Local Group could have a component
of metal-rich hot gas similar to, although less than, that observed in larger
clusters. We discuss the known constraints on such a scenario and show that all
local observations can be satisfied with present data in this model. The
best-fit model has a halo that is 40% baryonic, with an upper limit of 77%.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 05:36:57 GMT""},{""version"":""v2"",""created"":""Mon, 7 Oct 1996 16:47:07 GMT""}]","2009-10-28"
"astro-ph/9604097","Maite Ceballos","M.Teresa Ceballos (1,2), Xavier Barcons (1) ((1) Instituto de Fisica
  de Cantabria CSIC-Universidad de Cantabria, (2) Departamento de Fisica
  Moderna Universidad de Cantabria)","Soft versus Hard X-ray emission in AGN: partial covering and warm plus
  cold absorber models","10 pages, Latex (mn.sty), 1 table, 5 figures included (epsf),
  postscript version also available via anonymous ftp at
  ftp://astsun1.unican.es/pub/ceballos/ . Accepted for publication in MNRAS",,"10.1093/mnras/282.2.493","IFCA-04-01","astro-ph",,"  We analyse the ROSAT PSPC hardness ratio and the 0.5-2 keV to 2-10 keV flux
ratio of 65 Active Galactic Nuclei (AGN) for which there are both ROSAT
archival observations available and 2-10 keV fluxes, mostly from the HEAO-1
MC-LASS survey. We conclude that the simplest spectral model for the AGN that
can accommodate the variety of X-ray colours obtained is a standard power law
(with energy spectral index $\alpha\sim 0.9$) plus a $\sim 0.1$ keV black body
both partially absorbed. In our sample, type 1 AGN require an absorbing column
around $10^{22}\, {\rm cm}^{-2}$ with covering fractions between 20 and 100\%,
while type 2 AGN display larger columns and $\sim 100\%$ coverage. This simple
model also provides a good link between soft and hard AGN X-ray luminosity
functions and source counts. We also consider a warm absorber as an alternative
model to partial covering and find that the the presence of gas in two phases
(ionized and neutral) is required.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 07:22:13 GMT""}]","2015-06-24"
"cond-mat/9604096","Kenji Yonemitsu","K. Yonemitsu (IMS) and M. Imada (ISSP, Univ. of Tokyo)","Spin-gap phase in nearly-half-filled one-dimensional conductors coupled
  with phonons","14 pages, revtex, replaced 5 ps figures, published in PRB","PRB 54 (1996) 2410 - 2420","10.1103/PhysRevB.54.2410",,"cond-mat.str-el",,"  Asymptotic properties of nearly-half-filled one-dimensional conductors
coupled with phonons are studied through a renormalization group method. Due to
spin-charge coupling via electron-phonon interaction, the spin correlation
varies with filling as well as the charge correlation. Depending on the
relation between cut-off energy scales of the Umklapp process and of the
electron-phonon interaction, various phases appear. We found a metallic phase
with a spin gap and a dominant charge- density-wave correlation near half
filling between a gapless density-wave phase (like in the doped repulsive
Hubbard model) and a superconductor phase with a spin gap. The spin gap is
produced by phonon-assisted backward scatterings which are interfered with the
Umklapp process constructively or destructively depending on the character of
electron-phonon coupling.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 05:00:32 GMT""},{""version"":""v2"",""created"":""Wed, 9 Apr 1997 10:08:18 GMT""}]","2009-04-27"
"cond-mat/9604101","Yaroslav M. Blanter","Yaroslav M. Blanter","Inelastic Electron Lifetime in Disordered Mesoscopic Systems","24 pages + 4 figures, Revtex. Final version, some revisions are made,
  references to recent work added","Phys. Rev. B 54, 12807 (1996)","10.1103/PhysRevB.54.12807",,"cond-mat.mes-hall",,"  The inelastic quasiparticle lifetime due to the electron-electron interaction
(out-scattering time in the kinetic equation formalism) is calculated for
finite metallic diffusive systems (quantum dots) in the whole range of
parameters. Both cases of ``continuous'' (the inelastic level broadening much
exceeds the mean level spacing) and ``discrete'' spectrum are analyzed. In
particular, crossover between one- and zero-dimensional regimes is studied in
detail. In the case of continuous spectrum the out-scattering time is shown to
be the same as the inelastic time entering expressions for universal
conductance fluctuations and persistent currents. It is also found to be
shorter than the phase-breaking time in two- and one-dimensional systems, while
in zero-dimensional systems these two times coincide. In the case of discrete
spectrum for small enough systems a universal behavior of the scattering time
is obtained. For temperatures below the mean level spacing the out-scattering
rate is shown to be vanishingly small.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:18:29 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 1996 08:46:18 GMT""}]","2009-10-28"
"cond-mat/9604102","Riccardo Zecchina","Simona Cocco, Remi Monasson and Riccardo Zecchina","Analytical and Numerical Study of Internal Representations in Multilayer
  Neural Networks with Binary Weights","revtex, 20 pages + 9 figures, to appear in Phys. Rev. E",,"10.1103/PhysRevE.54.717",,"cond-mat",,"  We study the weight space structure of the parity machine with binary weights
by deriving the distribution of volumes associated to the internal
representations of the learning examples. The learning behaviour and the
symmetry breaking transition are analyzed and the results are found to be in
very good agreement with extended numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 16 Apr 1996 16:15:17 GMT""}]","2009-10-28"
