"alg-geom/9604002","Emilia Mezzetti","Emilia Mezzetti and Dario Portelli","Threefolds in $\Bbb P^5$ with a 3-dimensional family of plane curves","17 pages, to appear in Manuscripta Mathematica Plain TeX",,,,"alg-geom math.AG",,"  A classification theorem is given of smooth threefolds of $\Bbb P^5$ covered
by a family of dimension at least three of plane integral curves of degree
$d\geq 2.$ It is shown that for such a threefold $X$ there are two
possibilities: \item{(1)} $X$ is any threefold contained in a hyperquadric;
\item{(2)} $d\leq 3$ and $X$ is either the Bordiga or the Palatini scroll.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 07:41:19 GMT""}]","2008-02-03"
"astro-ph/9604004","R. Srianand","R. Srianand","Radiation Induced Void in the Spectrum of TOL 1038-2712","4 pages, latex 3 figures available on request at anand@iucaa.ernet.in",,"10.1086/303810",,"astro-ph",,"  Detection of a large void ($\sim $7 Mpc) is reported between the redshifts
2.16286 and 2.20748 in the Ly~$\alpha$ forest of TOL 1038-2712. This void is
centered near a foreground QSO TOL 1037-2704 which is at a distance $\sim$4.4
Mpc away from the void. The estimated probability for the void to occure by
chance in front of the foreground QSO is few times $10^{-3}$. Various
implications of the void being produced by excess ionization due to foreground
QSO are discussed.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 21:28:11 GMT""}]","2009-10-28"
"astro-ph/9604005","Eli Waxman","Eli Waxman (1), Karl B. Fisher (1), and Tsvi Piran (2) ((1) IAS,
  Princeton; (2) Hebrew University, Jerusalem, Israel)","The Signature of a Correlation between $>10^{19}{\rm eV}$ Cosmic Ray
  Sources and Large Scale Structure","Submitted to the ApJ; 19 pages (LaTeX file, 7 PostScript figures,
  aaspp4.sty style file, tar'ed, gzip'ed and uuencoded)","Astrophys.J. 483 (1997) 1-7","10.1086/304205",,"astro-ph",,"  We analyze the anisotropy signature expected if the high energy (above
$10^{19}$eV) cosmic ray (CR) sources are extra-Galactic and trace the
distribution of luminous matter on large scales. We investigate the dependence
of the anisotropy on both the relative bias between the CR sources and the
galaxy distribution and on the (unknown) intrinsic CR source density. We find
that the expected anisotropy associated with the large scale structure (LSS)
should be detected once the number of CR events observed above $10^{19}{\rm
eV}$ is increased by a factor of $\sim10$. This would require $\sim30$
observation-years with existing experiments, but less then $1$ year with the
proposed $\sim5000\ {\rm km}^2$ Auger detectors. We find that the recently
reported concentration of the Haverah Park CR events towards the super-galactic
plane is not consistent with the known LSS. If real, the Haverah Park result
suggests that the CR sources are much more concentrated towards the
super-galactic plane than the known LSS. Our results are not sensitive to the
number density of CR sources. We show that once the number of detected events
is increased by a factor of $\sim10$, the number density would be strongly
constrained by considering the probability for having repeating sources.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 19:53:39 GMT""}]","2009-10-28"
"astro-ph/9604006","Peter Nugent","David Branch, Adam Fisher, E. Baron & Peter Nugent","Low Hubble Constant from Type Ia Supernovae by van den Bergh's Method","Latex, 4 pages, 1 table, 1 figure, Submitted to Nature March 28,
  1996. PostScript version available at http://www.nhn.ou.edu/~nugent/",,,,"astro-ph",,"  An interesting way to calibrate the absolute magnitudes of remote Type Ia
supernovae (SNe Ia) that are well out in the Hubble flow, and thus determine
the value of the Hubble constant, H_0, has been introduced by van den Bergh.
His approach relies on calculations of the peak absolute magnitudes and
broad--band colors for SN Ia explosion models. It does not require any
corrections for extinction by interstellar dust, and no SNe Ia are excluded on
grounds of peculiarity. Within the last few years distances have been
determined to the parent galaxies of six SNe Ia by means of Cepheid variables.
Cepheid--based distances also have become available for three other SNe Ia if
one is willing to use the distance to a galaxy in the same group in lieu of the
distance to the parent galaxy itself. Here we determine the value of H_0 in a
way that is analogous to that of van den Bergh, but now using Cepheid--based
distances instead of calculated light curves. We obtain H_0 = 55 km/s/Mpc. This
value, with Lambda=0 and Omega=1, corresponds to a cosmic expansion time of 12
Gyr, which is consistent with several recent determinations of the ages of
globular clusters.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 21:26:26 GMT""}]","2007-05-23"
"astro-ph/9604007","Tanmay Vachaspati","Glenn D. Starkman and Tanmay Vachaspati","Galactic Cosmic Strings as Sources of Primary Antiprotons","11 pages; added reference to recent observations of low energy
  antiprotons","Phys.Rev.D53:6711-6714,1996","10.1103/PhysRevD.53.R6711","CWRU-P15-1995","astro-ph hep-ph",,"  A possible signature of a class of superconducting cosmic strings trapped in
the Milky Way plasma is the emission of low energy antiprotons due to baryon
number violating processes on the string. We find the terrestrial flux and the
energy spectrum of such antiprotons. Current observational bounds on the flux
of low energy antiprotons place a {\it lower} bound on the string tension which
is comparable to that given by the electroweak scale.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 21:34:48 GMT""},{""version"":""v2"",""created"":""Thu, 18 Apr 1996 14:19:13 GMT""}]","2010-01-06"
"astro-ph/9604008","Harry Ferguson","H. C. Ferguson (STScI), T. M. Brown and A. F. Davidsen (Johns Hopkins
  University)","Far-UV Line Strengths in Elliptical Galaxies","6 pages, 1 encapsulated PostScript figure, uses paspconf.sty epsf.sty
  and astrobib.sty. (Astrobib is available from
  http://www.stsci.edu/software/TeX.html .) To appear the proceedings of ""From
  Stars to Galaxies: The Impact of Stellar Physics on Galaxy Evolution""",,,,"astro-ph",,"  Much of the far-UV emission from elliptical galaxies is thought to arise from
extreme horizontal branch stars and related objects. Only about 10% of the
stellar population needs to evolve through this phase even in galaxies with the
strongest UV upturn. However it is not yet clear if this population represents
the extreme low-metallicity or high-metallicty tail of the distribution, or
rather arises from the overall population through some metallicity-insensitive
mechanism that causes increased mass loss in a small fraction of RGB stars. We
investigate the utility of far-UV line strengths for deciding between these
possiblities. Complications include the fact that the line strengths reflect
both the temperature distribution and the metallicity distribution of the
stars, that there may be abundance anomalies introduced on the RGB, and that
metals are likely to be redistributed by gravitational settling and radiative
diffusion in the atmospheres of hot high-gravity stars. Line-strength
measurements from Astro-2 HUT spectra are considered in this context.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 02:02:34 GMT""}]","2007-05-23"
"astro-ph/9604009","Dar Arnon","Arnon Dar and Giora Shaviv","Standard Solar Neutrinos","To be published in ApJ. Vol. 468 (1996)","Astrophys.J. 468 (1996) 933-946","10.1016/0920-5632(96)00268-X","Technion Ph-95-50","astro-ph hep-ph",,"  An improved standard solar model has been used to calculate the fluxes of
standard solar neutrinos. It includes premain sequence evolution, element
diffusion, partial ionization effects, and all the possible nuclear reactions
between the main elements. It uses updated values for the initial solar element
abundances, the solar age, the solar luminosity, the nuclear reaction rates and
the radiative opacities. Neither nuclear equilibrium, nor complete ionization
are assumed. The calculated solar neutrino fluxes are compared with published
results from the four solar neutrino experiments. The calculated $^8$B solar
neutrino flux is consistent, within the theoretical and experimental
uncertainties, with the solar neutrino observations at Homestake and
Kamiokande. The observations suggest that the $^7$Be solar neutrino flux is
much smaller than that predicted. However, conclusive evidence for the
suppression of the $^7$Be solar neutrino flux will require experiments like
BOREXINO and HELLAZ. If the $^7$Be solar neutrino flux is suppressed, it still
can be due either to standard physics and astrophysics or neutrino properties
beyond the standard electroweak model. Only future neutrino experiments, such
as SNO, Superkamiokande, BOREXINO and HELLAZ, will be able to show that the
solar neutrino problem is a consequence of neutrino properties beyond the
standard electroweak model.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 13:05:50 GMT""}]","2009-10-28"
"astro-ph/9604010","Roelof de Jong","Roelof S. de Jong (Kapteyn Astronomical Institute)","Near-infrared and optical broadband surface photometry of 86 face-on
  disk dominated galaxies. IV. Using color profiles to study stellar and dust
  content of galaxies","Accepted for publication in Astronomy & Astrophysics, 26 pages LaTeX,
  37 PostScript figures (Fig.1&2 not included), also available (including
  Fig.1&2) at http://star-www.dur.ac.uk/~rdejong/papers.html","Astron.Astrophys.313:377-395,1996",,"Kapteyn Institute preprint 193","astro-ph",,"  The stellar and dust content of spiral galaxies as function of radius has
been investigated using near-infrared and optical broadband surface photometry
of 86 face-on spiral galaxies. Colors of galaxies correlate with the
azimuthally averaged local surface brightness both within and among galaxies,
with the lower surface brightness regions being bluer. The colors formed from
different passband combinations correlate strongly indicating that they
probably arise from the same physical process.
  A 3D radiative transfer model was developed to calculate the effect of dust
absorption and scattering on the luminosity and color profiles of galaxies.
Stellar synthesis models were used to investigate the effects of the star
formation history and the metallicity on the broadband color profiles.
Combining all optical and near-infrared data shows that the color gradients in
this sample of face-on galaxies are best explained by a combined stellar age
and metallicity gradient across the disk, with the outer regions being on
average younger and of lower metallicity. Dust reddening probably plays only a
minor role, as the dust models cannot produce reddening profiles that are
compatible with the observations.
  The observed color differences implicate substantial M/L_lambda differences,
both within galaxies and among galaxies. The variations are such that the
``missing light'' problem derived from rotation fitting becomes even worse.
Late-type galaxies (T>=6) have lower metallicities and are often of younger
average age than earlier types and have therefore an entirely different
M/L_\lambda in most passbands. The near-infrared passbands are recommended for
studies where the M/L_\lambda ratios should not vary too much.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 13:55:15 GMT""}]","2009-05-29"
"astro-ph/9604011","Bohdan Paczynski","Bohdan Paczynski (Princeton University Observatory)","Gravitational Microlensing in the Local Group","41 pages, latex, 13 figures, postscript version with figures
  available at http://www.astro.princeton.edu/~library/prep.html","Ann.Rev.Astron.Astrophys.34:419-459,1996","10.1146/annurev.astro.34.1.419","POPe-661","astro-ph",,"  The status of searches for gravitational microlensing events of the stars in
our galaxy and in other galaxies of the Local Group, the interpretation of the
results, some theory, and prospects for the future are reviewed. The searches
have already unveiled about 100 events, at least two of them caused by
binaries, and have already proven to be useful for studies of the Galactic
structure. The events detected so far are probably attributable to the effects
of ordinary stars, and possibly to sub-stellar brown dwarfs; however a firm
conclusion cannot be reached yet because the analysis published to date is
based on a total of only 16 events. The current searches, soon to be upgraded,
will probably allow determination of the mass function of stars and brown
dwarfs in the next few years; these efforts will also provide good statistical
information about binary systems, in particular their mass ratios. They may
also reveal the nature of dark matter and allow us to detect planets and
planetary mass objects.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 15:57:45 GMT""}]","2011-05-05"
"astro-ph/9604017","Dante Minniti","D. Minniti, M. V. Alonso, P. Goudfrooij, P. Jablonka, G. Meylan","Globular Clusters in the Inner Regions of NGC5128 (Cen A)","14 pages, gzipped, uuencoded. Includes 1 table and 7 figures. Ap.J.
  in press",,"10.1086/177597",,"astro-ph",,"  We have identified 26 new globular cluster candidates in the inner 3 kpc of
NGC 5128 (Cen A), the nearest known large galaxy being the probable product of
a merger. The clusters are selected on the basis of their structural parameters
(observed core diameters and ellipticities), as measured from archival WFPC HST
images. IR photometry obtained with IRAC2B at the ESO/MPI 2.2-m telescope is
combined with the optical HST photometry. Most of these clusters have normal
colors typical of old globular clusters like those found in the Milky Way and
M31. We estimate their metal abundances based on the R-K_0 color, confirming
the existence of a metallicity gradient in the inner regions of NGC 5128. The
presence of metal-rich globular clusters suggests that one of the colliding
galaxies was a bulge-dominated galaxy (E or early S). A few clusters have
colors and magnitudes similar to intermediate-age clusters containing carbon
stars in the Magellanic Clouds. If the intermediate-age clusters were formed
during a merger, then this episode must have occurred a few Gyr ago.
Alternatively, we are looking at the cluster members of one of the colliding
galaxies, which would then have been a late-type disk galaxy.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 04:23:12 GMT""}]","2009-10-28"
"bayes-an/9604001","Darren J. Wilkinson","Darren J Wilkinson (http://fourier.dur.ac.uk:8000/djw.html)","Bayes linear variance adjustment for time series","LaTeX2e, 13 pages including 7 figures. Also available from
  http://fourier.dur.ac.uk:8000/~dma1djw/pub/djwll.html",,,,"bayes-an physics.data-an",,"  This paper exhibits quadratic products of linear combinations of observables
which identify the covariance structure underlying the univariate locally
linear time series dynamic linear model. The first- and second-order moments
for the joint distribution over these observables are given, allowing Bayes
linear learning for the underlying covariance structure for the time series
model. An example is given which illustrates the methodology and highlights the
practical implications of the theory.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 14:54:00 GMT""}]","2008-02-03"
