"adap-org/9603001","Dan Stein","C.M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY), D.L. Stein (Department of Physics, University of
  Arizona, Tucson, AZ)","Response to Parisi's Comment on ``Non-mean-field behavior of realistic
  spin glasses''","RevTeX file, 2 pages",,,,"adap-org cond-mat nlin.AO",,"  We expand on why our recent results rule out the standard SK picture of
realistic spin glasses.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:02:10 GMT""}]","2008-02-03"
"alg-geom/9604003","Bas Edixhoven","Pierre Parent","Bornes effectives pour la torsion des courbes elliptiques sur les corps
  des nombres","hard copies available by request to the author: parent@clipper.ens.fr
  uuencoded dvi file",,,,"alg-geom math.AG",,"  We give an effective form of the theorem of Mazur-Kamienny-Merel on the
torsion of elliptic curves over number fields.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 17:21:08 GMT""}]","2008-02-03"
"alg-geom/9604004","Quoc Thang Nguyen","Nguyen Quoc Thang","Rationality of almost simple algebraic groups","originally the manuscript has been circulated since March 1995, LaTeX",,,"McMaster University Preprint Sept/95, No.8","alg-geom math.AG",,"  We prove the stable rationality of almost simple algebraic groups, the
connected components of the Dynkin diagram of anisotropic kernel of which
contain at most two vertices. The (stable) rationality of many isotropic almost
simple groups with small anisotropic kernel and some related results over
$p$-adic and arbitrary fields are discussed.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 16:13:53 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 1996 16:23:23 GMT""}]","2008-02-03"
"astro-ph/9604012","Dan Maoz","Dan Maoz, Aaron J. Barth, Amiel Sternberg, Alexei V. Filippenko, Luis
  C. Ho, F. Duccio Macchetto, Hans-Walter Rix, and Donald P. Schneider","Hubble Space Telescope Ultraviolet Images of Five Circumnuclear
  Star-Forming Rings","LaTex file, 7 Postscript figures, tables, aaspp4.sty, and epsf.sty
  included. Accepted to The Astronomical Journal, June 1996 issue",,"10.1086/117960",,"astro-ph",,"  We present UV (2300 Ang) images, obtained with the HST Faint Object Camera,
of the central 20'' of five galaxies containing circumnuclear star-forming
rings. The five galaxies are from a well-defined sample of 103 normal, nearby
galaxies we have observed with HST. At the HST resolution (0.05''), the rings
break up into discrete star-forming clumps, each composed of many luminous and
compact ($R \ltorder 5$ pc) star clusters. These objects are similar to those
that have been recently reported in colliding and starburst galaxies, and in
several other circumnuclear rings. A large fraction, 15%--50%, of the UV
emission originates in these compact clusters. Compact clusters therefore may
be the preferred mode of star formation in starburst environments. For one
galaxy, NGC 2997, we measure the UV-optical colors of the individual clusters
using an archival HST WFPC2 image at 6000 Ang . Comparing the colors and
luminosities to starburst population synthesis models, we show that the
clusters are less than 100 Myr old and have masses of at least a few $10^3
M_{\odot}$, with some as high as $10^5 M_{\odot}$. The UV extinction to those
clusters that are detected in the UV is at most a factor of 10. In NGC 2997,
the limits on the masses and the ages of the young clusters indicate that these
objects will remain bound and evolve into globular clusters. The luminosity
function of the clusters in the rings is similar in shape to those measured for
super star clusters in other star-forming galaxies, and extends to luminosities
lower by several orders of magnitude. All five of the UV-detected circumnuclear
rings occur in barred or weakly barred spiral galaxies of type Sc or earlier.
None of the five rings has an active nucleus at its center, arguing against a
direct correspondence between circumnuclear star formation and nuclear
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 17:01:47 GMT""}]","2009-10-28"
"astro-ph/9604013","John D. Larwood","J.D. Larwood, R.P. Nelson, J.C.B. Papaloizou and C. Terquem","The tidally induced warping, precession and truncation of accretion
  discs in binary systems: three-dimensional simulations","Accepted by MNRAS, received in original form 23 January 1996. LaTeX,
  22 pages. 15 figures available from J.D.Larwood@qmw.ac.uk, or by anonymous
  ftp (see http://www.maths.qmw.ac.uk/~jdl/preprint.html for instructions)",,"10.1093/mnras/282.2.597",,"astro-ph",,"  We present the results of non linear, hydrodynamic simulations, in three
dimensions, of the tidal perturbation of accretion discs in binary systems
where the orbit is circular and not necessarily coplanar with the disc
mid-plane. The accretion discs are assumed to be geometrically thin, and of low
mass relative to the stellar mass so that they are governed by thermal pressure
and viscosity, but not self-gravity. The parameters that we consider in our
models are the ratio of the orbital distance to the disc radius, D/R, the
binary mass ratio, the initial inclination angle between the orbit and disc
planes and the Mach number in the outer parts of the unperturbed disc. For
binary mass ratios of around unity and D/R in the range 3 to 4, we find that
the global evolution of the discs is governed primarily by the value of the
Mach number. For relatively low Mach numbers (i.e. 10 to 20) we find that the
discs develop a mildly warped structure, are tidally truncated, and undergo a
near rigid body precession at a rate which is in close agreement with
analytical arguments. For higher Mach numbers (approx. 30), the evolution is
towards a considerably more warped structure, but the disc none the less
maintains itself as a long-lived, coherent entity. Additionally, it is found
that the inclination angle between the disc and orbital angular momentum
vectors evolves on a longer timescale which is probably the viscous evolution
timescale of the disc. The calculations are relevant to a number of observed
astrophysical phenomena, including the precession of jets associated with young
stars, the high spectral index of some T-Tauri stars, and the light curves of
X-ray binaries such as Hercules X-1 which suggest the presence of precessing
accretion discs.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:06:18 GMT""},{""version"":""v2"",""created"":""Wed, 31 Jul 1996 16:15:59 GMT""}]","2015-06-24"
"astro-ph/9604014","Andrew P. Gould","Andrew Gould","Microlensing and the Stellar Mass Function","31 pages with 7 embedded figures. PASP (June 1996) in press, (c) ASP,
  reproduced with permission",,"10.1086/133752","OSU-TA-10/96","astro-ph",,"  Traditional approaches to measuring the stellar mass function (MF) are
fundamentally limited because objects are detected based on their luminosity,
not their mass. These methods are thereby restricted to luminous and relatively
nearby stellar populations. Gravitational microlensing promises to
revolutionize our understanding of the MF. It is already technologically
feasible to measure the MFs of the Galactic disk and Galactic bulge as
functions of position, although the actual execution of this program requires
aggressive ground-based observations including infrared interferometry, as well
as the launching of a small satellite telescope. Rapid developments in
microlensing, including the new technique of ``pixel lensing'' of unresolved
stars, will allow one to probe the MF and luminosity function of nearby
galaxies. Such observations of M31 are already underway, and pixel-lensing
observations of M87 with the {\it Hubble Space Telescope} would permit
detection of dark intra-cluster objects in Virgo. Microlensing techniques can
also be applied to investigate the star-formation history of the universe and
to search for planets with masses as small as the Earth's. Based on an invited
talk at the January 1996 AAS meeting in San Antonio. PASP (June 1996) in press,
(c) ASP, reproduced with permission.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 19:52:53 GMT""}]","2009-10-28"
"astro-ph/9604015","Piet Hut","Stephen L.W. McMillan and Piet Hut","Binary--single-star scattering VI. Automatic Determination of
  Interaction Cross Sections","20 pages, TeX + 5 ps-figures, to appear in ApJ",,"10.1086/177610","IASSNS AST 96/19","astro-ph",,"  Scattering encounters between binaries and single stars play a central role
in determining the dynamical evolution of a star cluster. In addition,
three-body scattering can give rise to many interesting exceptional objects:
merging can produce blue stragglers; exchange can produce binaries containing
millisecond pulsars in environments quite different from those in which the
pulsars were spun up; various types of X-ray binaries can be formed, and their
activity can be either shut off or triggered as a result of triple
interactions.
  To date, all published results on three-body scattering have relied on human
guidance for determining the correct parameter range for the envelope within
which to perform Monte--Carlo scattering experiments. In this paper, we
describe the first fully automatic determination of cross sections and reaction
rates for binary--single-star scattering. Rather than relying on human
inspection of pilot calculations, we have constructed a feedback system that
ensures near-optimal coverage of parameter space while guaranteeing
completeness. We illustrate our approach with a particular example, in which we
describe the results of a three-body encounter between three main-sequence
stars of different masses. We provide total cross sections, as well as
branching ratios for the various different types of two-body mergers,
three-body mergers, and exchanges, both non-resonant and resonant. The
companion paper in this series, Paper VII, provides a full survey of
unequal-mass three-body scattering for hard binaries in the point-mass limit.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 22:07:00 GMT""}]","2009-10-28"
"astro-ph/9604016","Piet Hut","D.C. Heggie, P. Hut and S.L.W. McMillan","Binary--single-star scattering VII. Hard Binary Exchange Cross Sections
  for Arbitrary Mass Ratios: Numerical Results and Semi-Analytic Fits","25 pages, TeX + 2 ps-figures, to appear in ApJ","Mon.Not.Roy.Astron.Soc. 318 (2000) L61","10.1046/j.1365-8711.2000.04027.x","IASSNS AST 96/20","astro-ph",,"  We present the first comprehensive fitting formula for exchange reactions of
arbitrary mass ratios. In a comparison with numerical results, this expression
is shown to be accurate in the hard binary limit to within 25\% for most mass
ratios. The result will be useful in forming quantitative estimates for the
branching ratios of various exchange reactions in astrophysical applications.
For example, it can be used to construct quantitative formation scenarios for
unusual objects in globular clusters, such as binaries containing a pulsar.
","[{""version"":""v1"",""created"":""Tue, 2 Apr 1996 22:13:21 GMT""}]","2009-10-28"
"astro-ph/9604018","Raymond E. White III","Mark J. Henriksen & Raymond E. White III","Non-isothermal X-ray Emitting Gas in Clusters of Galaxies","gzipped tar file of 26 PostScript pages, including 2 figures, 7
  tables. Also available at
  http://www.astr.ua.edu/preprints/white/INDEX_READ_ME_1st.html",,"10.1086/177437",,"astro-ph",,"  We have analyzed X-ray spectra from six galaxy clusters which contain cooling
flows: A85, A478, A1795, A2142, A2147, & A2199. The X-ray spectra were taken
with the HEAO1-A2 Medium and High Energy Detectors and the Einstein Solid State
Spectrometer. For each cluster, we simultaneously fit the spectra from these
three detectors with models incorporating one or more emission components
comprised of either thermal or cooling flow models. Five of the clusters (all
but A2142) are better fit by a multi-component model (a cooling flow plus one
or two thermal components or a two thermal component model) than by isothermal
models. In four of the clusters (A85, A1795, A2147, & A2199), we find evidence
for cool gas outside of the canonical cooling flow region. These latter four
clusters can be characterized by three temperature components: a temperature
inversion in the central region, a hotter region with an emission-weighted
temperature which is higher than that of an isothermal model fit to the entire
cluster, and a cooler region with an emission-weighted temperature of ~1 keV.
The cool component outside the cooling flow region has a large minimum emission
measure which we attribute, in part, to diffuse cool gas in the outer cluster
atmosphere. If at least some of the cool exterior gas is virialized, this would
imply a radially decreasing temperature profile. Together with the density
profiles we have found, this leads to a baryon fraction in gas which increases
with radius and is larger than that for an isothermal cluster atmosphere.
Consequently, if clusters of galaxies trace the mass distribution in the
Universe, the gas mass fraction we have calculated for an isothermal gas (which
is ~15%) together with the nominal galaxy contribution (~5%) gives a baryon
fraction of ~20%. Using the upper limit to the baryon density derived from Big
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 00:20:25 GMT""}]","2009-10-28"
"astro-ph/9604019","David Ruffolo","W. Dr\""oge (U. Kiel), D. Ruffolo (Chulalongkorn U., Bangkok), B.
  Klecker (MPI-Garching)","Observations of Electrons from the Decay of Solar Flare Neutrons","4 pages (postscript), accepted by Astrophysical Journal Letters","Astrophys.J. 464 (1996) L87","10.1086/310093",,"astro-ph",,"  We have found evidence for fluxes of energetic electrons in interplanetary
space on board the ISEE-3 spacecraft which we interpret as the decay products
of neutrons generated in a solar flare on 1980 June 21. The decay electrons
arrived at the s/c shortly before the electrons from the flare and can be
distinguished from the latter by their distinctive energy spectrum. The time
profile of the decay electrons is in good agreement with the results from a
simulation based on a scattering mean free path derived from a fit to the flare
electron data. The comparison with simultaneously observed decay protons and a
published direct measurement of high-energy neutrons places important
constraints on the parent neutron spectrum.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 05:56:23 GMT""}]","2009-10-28"
"astro-ph/9604020","Andy Taylor","A. N. Taylor (Edinburgh) and A. J. S. Hamilton (Boulder)","Nonlinear Cosmological Power Spectra in Real and Redshift--Space","13 pages, uufiles, Latex with 6 postscript figures, submitted to
  MNRAS",,"10.1093/mnras/282.3.767",,"astro-ph",,"  We present an expression for the nonlinear evolution of the cosmological
power spectrum based on following Lagrangian trajectories. This is simplified
using the Zel'dovich approximation to trace particle displacements, assuming
Gaussian initial conditions. The model is found to exhibit the transfer of
power from large to small scales expected in self- gravitating fields. We have
extended this analysis into redshift-space and found a solution for the
nonlinear, anisotropic redshift-space power spectrum in the limit of
plane--parallel redshift distortions. The quadrupole-to- monopole ratio is
calculated for the case of power-law initial spectra. We find that the shape of
this ratio depends on the shape of the initial spectrum, but when scaled to
linear theory depends only weakly on the redshift-space distortion parameter,
$\beta$. The point of zero-crossing of the quadrupole, $k_0$, is found to obey
a scaling relation. This model is found to be in agreement with $N$-body
simulations on scales down to the zero-crossing of the quadrupole, although the
wavenumber at zero-crossing is underestimated. These results are applied to the
quadrupole--monopole ratio found in the merged QDOT+1.2 Jy IRAS redshift
survey. We have estimated that the distortion parameter is constrained to be
$\beta>0.5$ at the $95 \%$ level. The local primordial spectral slope is not
well constrained, but analysis suggests $n \approx -2$ in the translinear
regime. The zero-crossing scale of the quadrupole is $k_0=0.5 \pm 0.1 h/Mpc$
and from this we infer the amplitude of clustering is $\sigma_8=0.7 \pm 0.05$.
We suggest that the success of this model is due to nonlinear redshift--space
effects arising from infall onto caustics and is not dominated by virialised
cluster cores.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 14:02:37 GMT""}]","2015-06-24"
