"acc-phys/9604002",,"B. Norum and R. Rossmanith","Polarized Beams in a Muon Collider","ps-file","Nucl.Phys.Proc.Suppl.51A:191-200,1996",,"BNL-CAS-TH-10-96","acc-phys physics.acc-ph",,"  This paper presents a first overview on how to obtain and maintain polarized
beams in a muon-collider
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 14:34:03 GMT""}]","2009-07-28"
"alg-geom/9604009","Sinan Sertoz","Sinan Sertoz","Arf Rings and Characters","LaTeX 2.09, 15 pages, to appear in Note di Matematica",,,,"alg-geom math.AC math.AG",,"  Algebraic curve branches can be classified according to their multiplicity
sequences. Arf's solution to this problem using Arf closures and possible
implementations of Henselization are discussed.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 08:34:26 GMT""}]","2008-02-03"
"astro-ph/9604047",,"D. Fargion (Phys. Dept., University of Rome ``La Sapienza'' and INFN)","Prompt And Delayed Radio Bangs At Kilohertz By SN 1987A: A Test For
  Graviton-Photon Conversion","20 pages , latex file , article style , PS version available via
  anonymous login to ftp://hpteo.roma1.infn.it/pub/preprints/fargion/delay.ps","Grav.Cosmol. 1 (1995) 301-310",,"INFN 1061, 11/03/94","astro-ph",,"  A sequence of prompt and delayed radio signals at tens of kilohertz should
reach the Earth (or Jupiter) due to graviton--photon conversion in interstellar
as well as local planetary magnetic fields. These radio fluxes may be a
detectable probe of a huge gravitational burst expected from Supernovae
explosions. The earliest prompt radio signal, coinciding with the neutrino
burst, is due to conversion in the terrestrial (or Jovian) magnetic field and
is below the micro-Jansky (or milli-Jansky) level for a galactic Supernova like
SN1987A. A later radio signal, a ``tail'', due to the same graviton - radio
wave conversion in random interstellar fields will maintain a relic radio
``noise'' for hundreds or thousands of years and might even be still detectable
by a very sensitive network of satellite antennas at the kilohertz band. Exact
solutions are presented here for the graviton-photon conversion in a refractive
medium, as well as their consequences for high energy supernovae and the 2.726
K background radiation.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 16:37:32 GMT""}]","2007-05-23"
"astro-ph/9604048","Jhh","Q.-S. Gu (1),X.-H. Liao (1), J.-H. Huang (1), Q.-Y. Qu (1), H.-J. Su
  (2) ((1) Astronomy Department,Nanjing University, China, (2) Purple Mt. Obs.
  Nanjing, China)","Gasdynamics in NGC 4736","7 pages, l-aa.sty, 6 figures available on request at jhh@nju.edu.cn,
  Accepted for publication in A\&A",,,,"astro-ph",,"  New test-particle simulations have been performed to study the secular
evolution of the gaseous distribution in NGC 4736. We find that the
distribution of gas clouds can be understood in the frame of perturbation
induced by a nuclear oval potential, in addition to a spiral-like potential.
Our experiments show that both inner and outer rings are stable structures
located at the inner Lindblad resonance (ILR) and the outer Lindblad
resonance(OLR), respectively, in agreement with the observations of NGC 4736.
  One of our simplified simulations indicates that both nuclear starburst and
orbital resonance might be needed for keeping the inner ring stable for a long
period. We have introduced a symplectic algorithm in the orbit integration. Its
stronger stability allows us to adopt a rather large time step to save
computational time. Substitution of a viscous force for cloud-cloud
interactions proves adequate in the case of NGC 4736.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 20:30:10 GMT""}]","2007-05-23"
"astro-ph/9604049","Chigurupati Murali","C. Murali and M. D. Weinberg (University of Massachusetts, Amherst)","The Effect of the Galactic Spheroid on Globular Cluster Evolution","Latex, 17 pages, 16 figures, mn.sty",,"10.1093/mnras/288.3.749",,"astro-ph",,"  We study the combined effects of relaxation, tidal heating and binary heating
on globular cluster evolution, exploring the physical consequences of external
effects and examining evolutionary trends in the Milky Way population. Our
analysis demonstrates that heating on circular and low-eccentricity orbits can
dominate cluster evolution. The results also predict rapid evolution on
eccentric orbits either due to strong relaxation caused by the high densities
needed for tidal limitation or due to efficient bulge shocking of low density
clusters.
  The combination of effects leads to strong evolution of the population as a
whole. For example, within the solar circle, tidally-limited 10^5 M_sun
clusters lose at least 40% of their mass in 10 Gyr. At high eccentricity most
of these clusters evaporate completely. Bulge shocking disrupts clusters within
40 kpc which have less than 80% of their mass within their pericentric inner
Lagrange point. Our results are consistent with suggestions that the shape of
the cluster luminosity function results from evaporation and disruption of low
mass clusters; they further predict that the net velocity dispersion of the
cluster system in the inner Galaxy has decreased with time. Preliminary
constraints on formation models are also discussed. We conclude that the
observed cluster system has largely been shaped by dynamical selection.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 17:53:42 GMT""}]","2015-06-24"
"astro-ph/9604050","Jhh","J.H.Huang (1), Q.S. Gu (1), H.J. Su (2), T.G. Hawarden (3), X.H. Liao
  (1), G.X. Wu (2) ((1) Astronomy Department,Nanjing University, China, (2)
  Purple Mt. Obs. Nanjing, China, (3) Joint Astronomy Centre, Hilo, Hawaii,
  USA; Royal Observatory, Blackford Hill, Edinburgh)","The Bar-enhanced Star-formation Activities in Spiral Galaxies","12 pages, l-aa.sty, 1 table and 10 figures available on request at
  jhh@nju.edu.cn, accepted for publication in A\&A",,,,"astro-ph",,"  We use the ratio $L_{\rm FIR}/L_{\rm B}$ and the IRAS color index
S$_{25}$/S$_{12}$ (both widely used as indices of relative star formation rates
in galaxies) to analyse subsets (containing no known AGNs or
merging/interacting galaxies) of: (a) the IRAS Bright Galaxy Sample, (b)
galaxies from the optically complete RSA sample which have IRAS detections in
all four bands, and (c) a volume-limited IR-unselected sample. We confirm that
IR-bright barred (SB) galaxies do, on average, have very significantly higher
values of the FIR-optical and S$_{25}$/S$_{12}$ ratios (and presumably, higher
relative star formation rates, SFR) than that do unbarred ones; the effect is
most obvious in the IR colors. We also confirm that these differences are
confined to early-type (S0/a - Sbc) spirals and are not evident among late-type
systems (Sc - Sdm). {\it Unlike others, we see no enhancement of the SFR in
weakly-barred (SAB) galaxies.} We further confirm that the effect of bars on
the SFR is associated with the relative IR luminosity and show that it is
detectable only in galaxies with $L_{\rm FIR}/L_{\rm B}$ $\proxgreat$ 1/3,
suggesting that as soon as they have any effect, bars translate their host
galaxies into this relatively IR-luminous group. Conversely, for galaxies with
$L_{\rm FIR}/L_{\rm B}$ below$\sim$ 0.1 this luminosity ratio is {\it lower}
among barred than unbarred systems, again confirming and quantifying an earlier
result. Although there is no simple physical relation between HI content and
star formation, a strong correlation of HI content with the presence of bars
has been found for early-type spirals with $L_{\rm FIR}/L_{\rm B}$ $\proxgreat$
1/3. This suggests that the availability of fuel is the factor determining just
which galaxies undergo bar-induced starbursts.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 21:02:11 GMT""}]","2007-05-23"
"astro-ph/9604051","Rachel Somerville","Rachel S. Somerville, Joel R. Primack, and Richard Nolthenius (UC
  Santa Cruz)","The Small Scale Velocity Dispersion of Galaxies: A Comparison of
  Cosmological Simulations","20 pages, uuencoded (Latex file + 8 Postscript figures), uses AAS
  macros",,"10.1086/303900",,"astro-ph",,"  The velocity dispersion of galaxies on small scales ($r\sim1h^{-1}$ Mpc),
$\sigma_{12}(r)$, can be estimated from the anisotropy of the galaxy-galaxy
correlation function in redshift space. We apply this technique to
``mock-catalogs'' extracted from N-body simulations of several different
variants of Cold Dark Matter dominated cosmological models to obtain results
which may be consistently compared to similar results from observations. We
find a large variation in the value of $\sigma_{12}(1 h^{-1} Mpc)$ in different
regions of the same simulation. We conclude that this statistic should not be
considered to conclusively rule out any of the cosmological models we have
studied. We attempt to make the statistic more robust by removing clusters from
the simulations using an automated cluster-removing routine, but this appears
to reduce the discriminatory power of the statistic. However, studying
$\sigma_{12}$ as clusters with different internal velocity dispersions are
removed leads to interesting information about the amount of power on cluster
and subcluster scales. We also compute the pairwise velocity dispersion
directly and compare this to the values obtained using the Davis-Peebles
method, and find that the agreement is fairly good. We evaluate the models used
for the mean streaming velocity and the pairwise peculiar velocity distribution
in the original Davis-Peebles method by comparing the models with the results
from the simulations.
","[{""version"":""v1"",""created"":""Wed, 10 Apr 1996 19:45:39 GMT""}]","2009-10-28"
"astro-ph/9604052","Hajime Susa","Hajime Susa, Hideya Uehara and Ryoichi Nishi","The fragment mass scale of the primordial gas clouds I","19 pages, latex, 4 figures(eps), gziped and uuencoded. Submitted to
  Prog. Theor. Phys",,,"KUNS 1294","astro-ph",,"  We investigated the thermal evolution of non-spherical primordial gas clouds
of mass $ M=10^6M_\odot $. We studied two cases: 1) prolate and oblate clouds
without angular momentum, 2) initially spherical, oblate and prolate clouds
with angular momentum. In the spherical case, the magnitude of the angular
momentum is the key quantity which determines the fragment mass. The fragment
mass is found to be $M \gsim 100 M_\odot$ for $10^{-2} \lsim \lambda \lsim 1$,
where $\lambda$ is the cosmological spin parameter. For the oblate shape of
initial gas clouds, the angular momentum is almost always not important, In the
case of prolate clouds with some angular momentum, collapse proceeds in the
same way as spherical case, and the bounce occurs to form a disk due to the
angular momentum. In any case, the estimated ``fragment mass'', must be above
$100 M_\odot$ for the primordial gas clouds with typical angular momentum
  and typical oblateness or prolateness.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 08:00:33 GMT""}]","2016-08-30"
"astro-ph/9604053","Jurgen Knoedlseder","J. Knoedlseder, N. Prantzos, K. Bennett, H. Bloemen, R. Diehl, W.
  Hermsen, U. Oberlack, J. Ryan, and V. Schoenfelder","Modelling the 1.8 MeV Sky: Tests for Spiral Structure","For further preprints see
  http://www.gamma.mpe-garching.mpg.de/~jrk/jrk.html",,,,"astro-ph",,"  COMPTEL imaging analysis revealed a patchy, asymmetric distribution of
diffuse 1.8 MeV emission along the Galactic plane, which is attributed to the
decay of radioactive 26Al in the ISM. If massive stars were the major source of
Galactic 26Al, the 1.8 MeV emission should be asymmetric and trace the spiral
arms of the Galaxy, presumed site of massive star formation. Using model fits,
we indeed find weak evidence in the COMPTEL data that the observed 1.8 MeV
emission is at least partly confined to spiral arms. We derive a total Galactic
26Al mass of 2.5 Msol from which at least 0.7 Msol can be attributed to massive
stars.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 09:42:56 GMT""}]","2007-05-23"
"astro-ph/9604054","Jurgen Knoedlseder","J. Knoedlseder, K. Bennett, H. Bloemen, R. Diehl, W. Hermsen, U.
  Oberlack, J. Ryan, and V. Schoenfelder","1.8 MeV Emission from the Carina Region","4 pages, accepted by A&AS, for further preprints see
  http://www.gamma.mpe-garching.mpg.de/~jrk/jrk.html",,,,"astro-ph",,"  Significant 1.8 MeV emission from the Carina region has been detected by
COMPTEL. The emission is concentrated within 6 degrees or less near the Carina
nebula NGC 3372, one of the brightest HII regions known in our Galaxy. This
region contains a wealth of extreme young open clusters whose massive stars
possibly contributed to an enrichment of 26Al in the ISM within the last few
million years. The relation of these clusters and the peculiar object Eta
Carinae with the observed emission is discussed. The 26Al yield of the clusters
is estimated using current theoretical nucleosynthesis models.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 10:21:32 GMT""}]","2007-05-23"
"astro-ph/9604055","Raul Jimenez","Paolo Padoan, Raul Jimenez & Bernard Jones","On star formation in primordial protoglobular clouds",,,"10.1093/mnras/285.4.711",,"astro-ph",,"  Using a new physical model for star formation (Padoan 1995) we have tested
the possibility that globular clusters (GCs) are formed from primordial mass
fluctuations, whose mass scale ($10^8$ - $10^9$ M$_{\odot}$) is selected out of
a CDM spectrum by the mechanism of non-equilibrium formation of $H_2$. We show
that such clouds are able to convert about 0.003 of their total mass into a
bound system (GC) and about 0.02 into halo stars. The metal enriched gas is
dispersed away from the GC by supernova explosions and forms the galactic disk.
These mass ratios between GCs, halo and disk depend on the predicted IMF which
is a consequence of the universal statistics of fluid turbulence. They also
depend on the ratio of baryonic over non-baryonic mass ,$X_b$, and are
comparable with the values observed in typical spiral galaxies for $X_b \approx
0.1-0.2$. The computed mass and radius for a GC ( $5\times 10^5$ M$_{\odot}$
and 30 pc) are in good agreement with the average values in the Galaxy. The
model predicts an exponential cut off in the stellar IMF below 0.1 M$_{\odot}$
in GCs and 0.6 M$_{\odot}$ in the halo. The quite massive star formation in
primordial clouds leads to a large number of supernovae and to a high blue
luminosity during the first two Gyr of the life of every galaxy.
","[{""version"":""v1"",""created"":""Thu, 11 Apr 1996 11:22:30 GMT""}]","2015-06-24"
